Nb de candidats ayant fait au moins un vœu confirmé PP 2025;Nb de candidats ayant fait au moins un vœu confirmé PP 2024;Nb de candidats ayant fait au moins un vœu confirmé PP 2023;Nb de cddt ayant au moins une proposition Parcoursup 2025;Nb de cddt ayant au moins une proposition Parcoursup 2024;Nb de cddt ayant au moins une proposition Parcoursup 2023;Etablissement;Type de formation de la scolarité;Niveau d'études
7;5;6;3;3;4;AEPO CFA de l'optique;BTS - BTSA - BTSM;1ère année d'études supérieures
3;5;0;1;3;;AEPO CFA de l'optique;BTS - BTSA - BTSM;2nd année d'études supérieures
;;0;;;;AEPO CFA de l'optique;BTS - BTSA - BTSM;3ème année d'études supérieures
;;0;;;;AEPO CFA de l'optique;Licence professionnelle;1ère année d'études supérieures
1;0;1;;;;AEPO CFA de l'optique;Licence professionnelle;3ème année d'études supérieures
;;1;;;1;AEPO CFA de l'optique;Prépa formation paramédicale (prépa orthophoniste, ...);Année préparatoire aux études supérieures
8;2;0;17;14;14;AEPO CFA de l'optique;Terminale;Terminale
1;4;;1;4;;AFREP - Institut de formation en pédicurie-podologie;Etudes de santé;1ère année d'études supérieures
0;1;;;1;;AFREP - Institut de formation en pédicurie-podologie;Etudes de santé;3ème année d'études supérieures
0;;;;;;AFTRAL CFA ISTELI;Autre formation du supérieur;1ère année d'études supérieures
1;;;;;;AFTRAL CFA ISTELI;Autre formation du supérieur;4ème année d'études supérieures ou plus
1;;;1;;;AFTRAL CFA ISTELI;BTS - BTSA - BTSM;1ère année d'études supérieures
0;0;0;;1;;AFTRAL CFA ISTELI;BTS - BTSA - BTSM;2nd année d'études supérieures
0;;;;;;AFTRAL CFA ISTELI;Formations professionnelles;2nd année d'études supérieures
0;;;;;;Antenne de Centre de Formation d'apprentis - CEFLU;BTS - BTSA - BTSM;1ère année d'études supérieures
1;;;1;;;Antenne de Centre de Formation d'apprentis - CEFLU;Terminale;Terminale
;;0;;;;ANTENNE DU CFA IGS;Autre formation du supérieur;1ère année d'études supérieures
0;;;;;;ANTENNE DU CFA IGS;Autre formation du supérieur;3ème année d'études supérieures
1;0;1;;1;1;ANTENNE DU CFA IGS;BTS - BTSA - BTSM;1ère année d'études supérieures
;;0;;;;ANTENNE DU CFA IGS;BTS - BTSA - BTSM;2nd année d'études supérieures
1;;;1;;;ANTENNE DU CFA IGS;DCG;3ème année d'études supérieures
;;1;;;;ANTENNE DU CFA IGS;Formations professionnelles;1ère année d'études supérieures
;;0;;;;ANTENNE DU CFA IGS;Formations professionnelles;2nd année d'études supérieures
1;;0;1;;;ANTENNE DU CFA IGS;Formations professionnelles;3ème année d'études supérieures
;0;;;;;ANTENNE DU CFA IGS;Licence professionnelle;3ème année d'études supérieures
0;;0;;;1;ANTENNE DU CFA IGS;Terminale;Terminale
1;;;;;;Artémisia Formation;Formations professionnelles;1ère année d'études supérieures
3;;;1;;;ASFORED-EDINOVO;BTS - BTSA - BTSM;2nd année d'études supérieures
1;;;1;;;ASFORED-EDINOVO;BTS - BTSA - BTSM;3ème année d'études supérieures
;;1;;;1;ASSO FORMAT BIOCHIM BIOL ECOLE;Autre formation du supérieur;1ère année d'études supérieures
0;1;;;;;ASSO FORMAT BIOCHIM BIOL ECOLE;BTS - BTSA - BTSM;1ère année d'études supérieures
0;0;0;;;;ASSO FORMAT BIOCHIM BIOL ECOLE;BTS - BTSA - BTSM;2nd année d'études supérieures
0;;;;;;ASSO FORMAT BIOCHIM BIOL ECOLE;BTS - BTSA - BTSM;3ème année d'études supérieures
2;;;1;;;ASSO FORMAT BIOCHIM BIOL ECOLE;Classe de remise à niveau (Scientifique, pour entrer en BTS, ...);Année préparatoire aux études supérieures
;;0;;;;ASSO FORMAT BIOCHIM BIOL ECOLE;Prépa PASS (Médecine, Pharmacie, Sage femme, Dentiste, Kiné);Année préparatoire aux études supérieures
1;1;;;1;;Aureïs formation;Autre formation du supérieur;1ère année d'études supérieures
0;;0;;;;Aureïs formation;Autre formation du supérieur;3ème année d'études supérieures
2;0;0;1;;;Aureïs formation;BTS - BTSA - BTSM;1ère année d'études supérieures
1;0;0;;;1;Aureïs formation;BTS - BTSA - BTSM;2nd année d'études supérieures
6;;;6;;;AURLOM BTS+;Autre formation du supérieur;1ère année d'études supérieures
0;;;1;;;AURLOM BTS+;Autre formation du supérieur;2nd année d'études supérieures
133;;;70;;;AURLOM BTS+;BTS - BTSA - BTSM;1ère année d'études supérieures
22;;;12;;;AURLOM BTS+;BTS - BTSA - BTSM;2nd année d'études supérieures
1;;;1;;;AURLOM BTS+;BTS - BTSA - BTSM;3ème année d'études supérieures
1;;;1;;;AURLOM BTS+;Formations professionnelles;1ère année d'études supérieures
0;;;;;;AURLOM BTS+;Formations professionnelles;2nd année d'études supérieures
0;;;;;;AURLOM BTS+;Prépa formation paramédicale (prépa orthophoniste, ...);Année préparatoire aux études supérieures
1;;2;1;;2;Beth Sefer Yad Mordekhai;BTS - BTSA - BTSM;1ère année d'études supérieures
1;0;1;1;;1;Beth Sefer Yad Mordekhai;BTS - BTSA - BTSM;2nd année d'études supérieures
6;8;6;5;7;6;Beth Sefer Yad Mordekhai;Terminale;Terminale
1;;;1;;;Campus de l'Esthétique et du SPA;Classe de remise à niveau (Scientifique, pour entrer en BTS, ...);Année préparatoire aux études supérieures
2;;;1;;;Campus de l'Esthétique et du SPA;Terminale;Terminale
0;;;;;;Campus Strat@Innov Paris;Autre formation du supérieur;3ème année d'études supérieures
6;;;3;;;Campus Strat@Innov Paris;BTS - BTSA - BTSM;1ère année d'études supérieures
0;;;;;;Campus Strat@Innov Paris;BTS - BTSA - BTSM;2nd année d'études supérieures
0;;;;;;Campus Strat@Innov Paris;Formations professionnelles;3ème année d'études supérieures
0;;;;;;Centre de Formation continue - Institut parisien de formation;Autre formation du supérieur;1ère année d'études supérieures
3;;;2;;;Centre de Formation continue - Institut parisien de formation;BTS - BTSA - BTSM;1ère année d'études supérieures
1;1;;1;1;;Centre de Formation continue - Institut parisien de formation;BTS - BTSA - BTSM;2nd année d'études supérieures
;0;;;;;Centre de Formation continue - Institut parisien de formation;Licence professionnelle;3ème année d'études supérieures
1;0;;;;;Centre de Formation continue - Institut parisien de formation;Terminale;Terminale
0;;;;;;Centre de Formation d'apprentis - CCI Paris centre des formations industrielles;Autre formation du supérieur;2nd année d'études supérieures
;;1;;;2;Centre de Formation d'apprentis - CCI Paris centre des formations industrielles;BTS - BTSA - BTSM;1ère année d'études supérieures
0;0;1;;;1;Centre de Formation d'apprentis - CCI Paris centre des formations industrielles;BTS - BTSA - BTSM;2nd année d'études supérieures
0;;;;;;Centre de Formation d'apprentis - CCI Paris centre des formations industrielles;Formations professionnelles;3ème année d'études supérieures
;0;1;;;1;Centre de Formation d'apprentis - CCI Paris centre des formations industrielles;Licence professionnelle;3ème année d'études supérieures
0;1;0;1;8;13;Centre de Formation d'apprentis - CCI Paris centre des formations industrielles;Terminale;Terminale
;0;0;;;;CENTRE DE FORMATION ISCG;Autre formation du supérieur;1ère année d'études supérieures
0;;;;;;CENTRE DE FORMATION ISCG;Autre formation du supérieur;4ème année d'études supérieures ou plus
3;6;2;4;4;1;CENTRE DE FORMATION ISCG;BTS - BTSA - BTSM;1ère année d'études supérieures
0;4;0;;4;;CENTRE DE FORMATION ISCG;BTS - BTSA - BTSM;2nd année d'études supérieures
;0;;;1;;CENTRE DE FORMATION ISCG;Formations professionnelles;1ère année d'études supérieures
0;;;;;;CENTRE DE FORMATION ISCG;Formations professionnelles;2nd année d'études supérieures
0;;;;;;CENTRE DE FORMATION ISCG;Formations professionnelles;3ème année d'études supérieures
;;0;;;;CENTRE DE FORMATION ISCG;Licence professionnelle;1ère année d'études supérieures
;;0;;;;CENTRE DE FORMATION ISCG;Licence professionnelle;2nd année d'études supérieures
;0;0;;;;CENTRE DE FORMATION ISCG;Licence professionnelle;3ème année d'études supérieures
;;0;;;;CENTRE DE FORMATION ISCG;Terminale;Terminale
2;;;1;;;Centre de formation MMI DECO ;BTS - BTSA - BTSM;1ère année d'études supérieures
1;0;;;;;Centre de formation MMI DECO ;Formations professionnelles;1ère année d'études supérieures
0;1;;;1;;Centre de formation MMI DECO ;Formations professionnelles;2nd année d'études supérieures
0;1;;;1;;Centre de préparation au diplôme d'état d'audioprothèsiste Conservatoire National des Arts et Métiers;Année préparatoire à la capacité en droit;Année préparatoire aux études supérieures
;1;0;;1;;Centre de préparation au diplôme d'état d'audioprothèsiste Conservatoire National des Arts et Métiers;Autre formation du supérieur;4ème année d'études supérieures ou plus
1;;;1;;;Centre de préparation au diplôme d'état d'audioprothèsiste Conservatoire National des Arts et Métiers;BTS - BTSA - BTSM;1ère année d'études supérieures
2;;0;1;;;Centre de préparation au diplôme d'état d'audioprothèsiste Conservatoire National des Arts et Métiers;DCG;1ère année d'études supérieures
;0;;;;;Centre de préparation au diplôme d'état d'audioprothèsiste Conservatoire National des Arts et Métiers;DCG;2nd année d'études supérieures
;;1;;;1;Centre de préparation au diplôme d'état d'audioprothèsiste Conservatoire National des Arts et Métiers;DCG;3ème année d'études supérieures
;;0;;;;Centre de préparation au diplôme d'état d'audioprothèsiste Conservatoire National des Arts et Métiers;DEUST;1ère année d'études supérieures
;0;;;;;Centre de préparation au diplôme d'état d'audioprothèsiste Conservatoire National des Arts et Métiers;DEUST;2nd année d'études supérieures
2;2;2;2;2;2;Centre de préparation au diplôme d'état d'audioprothèsiste Conservatoire National des Arts et Métiers;Diplômes d'université ou d'établissement;1ère année d'études supérieures
;2;;;2;;Centre de préparation au diplôme d'état d'audioprothèsiste Conservatoire National des Arts et Métiers;Diplômes d'université ou d'établissement;2nd année d'études supérieures
1;;;;;;Centre de préparation au diplôme d'état d'audioprothèsiste Conservatoire National des Arts et Métiers;Etudes de santé;1ère année d'études supérieures
0;;;3;;;Centre de préparation au diplôme d'état d'audioprothèsiste Conservatoire National des Arts et Métiers;Etudes de santé;3ème année d'études supérieures
;;1;;;;Centre de préparation au diplôme d'état d'audioprothèsiste Conservatoire National des Arts et Métiers;Formations des écoles d'ingénieurs;2nd année d'études supérieures
;0;;;;;Centre de préparation au diplôme d'état d'audioprothèsiste Conservatoire National des Arts et Métiers;Formations des écoles d'ingénieurs;3ème année d'études supérieures
0;2;4;;2;3;Centre de préparation au diplôme d'état d'audioprothèsiste Conservatoire National des Arts et Métiers;Licence;1ère année d'études supérieures
;;0;;;;Centre de préparation au diplôme d'état d'audioprothèsiste Conservatoire National des Arts et Métiers;Licence;2nd année d'études supérieures
1;1;0;;;1;Centre de préparation au diplôme d'état d'audioprothèsiste Conservatoire National des Arts et Métiers;Licence;3ème année d'études supérieures
;0;;;;;Centre de préparation au diplôme d'état d'audioprothèsiste Conservatoire National des Arts et Métiers;Licence professionnelle;3ème année d'études supérieures
0;1;0;;1;;Centre de préparation au diplôme d'état d'audioprothèsiste Conservatoire National des Arts et Métiers;Master;4ème année d'études supérieures ou plus
;;1;;;1;Centre de préparation au diplôme d'état d'audioprothèsiste Conservatoire National des Arts et Métiers;Prépa PASS (Médecine, Pharmacie, Sage femme, Dentiste, Kiné);Année préparatoire aux études supérieures
6;8;2;5;6;3;CENTRE FORMATION SAINT-HONORE;Formations diplômantes du travail social;1ère année d'études supérieures
1;3;0;1;3;;CENTRE FORMATION SAINT-HONORE;Formations diplômantes du travail social;2nd année d'études supérieures
1;1;1;1;1;2;CENTRE FORMATION SAINT-HONORE;Formations diplômantes du travail social;3ème année d'études supérieures
8;6;3;3;4;3;Centre Régional du Conservatoire National des Arts et Métiers d Ile-de-France;Autre formation du supérieur;1ère année d'études supérieures
0;0;0;;1;;Centre Régional du Conservatoire National des Arts et Métiers d Ile-de-France;Autre formation du supérieur;2nd année d'études supérieures
;1;;;;;Centre Régional du Conservatoire National des Arts et Métiers d Ile-de-France;Autre formation du supérieur;3ème année d'études supérieures
0;1;1;;1;1;Centre Régional du Conservatoire National des Arts et Métiers d Ile-de-France;Autre formation du supérieur;4ème année d'études supérieures ou plus
0;;;;;;Centre Régional du Conservatoire National des Arts et Métiers d Ile-de-France;BTS - BTSA - BTSM;1ère année d'études supérieures
1;;;1;;;Centre Régional du Conservatoire National des Arts et Métiers d Ile-de-France;Certificats de spécialisation et FCIL;Année préparatoire aux études supérieures
1;0;;;;;Centre Régional du Conservatoire National des Arts et Métiers d Ile-de-France;Classe de remise à niveau (Scientifique, pour entrer en BTS, ...);Année préparatoire aux études supérieures
5;2;2;5;1;2;Centre Régional du Conservatoire National des Arts et Métiers d Ile-de-France;DCG;1ère année d'études supérieures
1;1;2;1;;;Centre Régional du Conservatoire National des Arts et Métiers d Ile-de-France;DCG;2nd année d'études supérieures
0;0;;;;;Centre Régional du Conservatoire National des Arts et Métiers d Ile-de-France;DCG;3ème année d'études supérieures
2;2;1;2;2;;Centre Régional du Conservatoire National des Arts et Métiers d Ile-de-France;Etudes de santé;1ère année d'études supérieures
;;1;;;1;Centre Régional du Conservatoire National des Arts et Métiers d Ile-de-France;Etudes de santé;2nd année d'études supérieures
;1;0;;1;2;Centre Régional du Conservatoire National des Arts et Métiers d Ile-de-France;Etudes de santé;3ème année d'études supérieures
0;;;;;;Centre Régional du Conservatoire National des Arts et Métiers d Ile-de-France;Formations d'architecture, du paysage et du patrimoine;2nd année d'études supérieures
3;4;1;1;;1;Centre Régional du Conservatoire National des Arts et Métiers d Ile-de-France;Formations préparatoires à l'enseignement supérieur;Année préparatoire aux études supérieures
4;6;17;3;4;9;Centre Régional du Conservatoire National des Arts et Métiers d Ile-de-France;Formations professionnelles;1ère année d'études supérieures
;;0;;;;Centre Régional du Conservatoire National des Arts et Métiers d Ile-de-France;Formations professionnelles;2nd année d'études supérieures
;;0;;;;Centre Régional du Conservatoire National des Arts et Métiers d Ile-de-France;Formations professionnelles;3ème année d'études supérieures
3;;;2;;;Centre Régional du Conservatoire National des Arts et Métiers d Ile-de-France;Licence professionnelle;1ère année d'études supérieures
2;;0;2;;;Centre Régional du Conservatoire National des Arts et Métiers d Ile-de-France;Licence professionnelle;3ème année d'études supérieures
4;;;4;;;Centre Régional du Conservatoire National des Arts et Métiers d Ile-de-France;Master;4ème année d'études supérieures ou plus
1;1;2;;1;2;Centre Régional du Conservatoire National des Arts et Métiers d Ile-de-France;Prépa autres écoles (Arts, Audiovisuel, Hôtellerie, ...);Année préparatoire aux études supérieures
;0;;;;;Centre Régional du Conservatoire National des Arts et Métiers d Ile-de-France;Prépa formation du secteur social (prépa Educ. spécialisé, ...);Année préparatoire aux études supérieures
1;;;1;;;Centre Régional du Conservatoire National des Arts et Métiers d Ile-de-France;Prépa PASS (Médecine, Pharmacie, Sage femme, Dentiste, Kiné);Année préparatoire aux études supérieures
1;2;;1;3;;CEPROC Centre européen des professions culinaires;Certificats de spécialisation et FCIL;Année préparatoire aux études supérieures
;1;0;;1;;CEPROC Centre européen des professions culinaires;Formations professionnelles;1ère année d'études supérieures
;1;;;1;;CEPROC Centre européen des professions culinaires;Formations professionnelles;2nd année d'études supérieures
1;;;1;;;CEPROC Centre européen des professions culinaires;Terminale;Terminale
1;0;;;;;CERFAL-UFA Campus Montsouris;Autre formation du supérieur;1ère année d'études supérieures
;;0;;;;CERFAL-UFA Campus Montsouris;Autre formation du supérieur;2nd année d'études supérieures
;0;;;1;;CERFAL-UFA Campus Montsouris;Autre formation du supérieur;3ème année d'études supérieures
14;12;6;10;12;4;CERFAL-UFA Campus Montsouris;BTS - BTSA - BTSM;1ère année d'études supérieures
2;1;2;1;;2;CERFAL-UFA Campus Montsouris;BTS - BTSA - BTSM;2nd année d'études supérieures
0;1;;;1;;CERFAL-UFA Campus Montsouris;DCG;1ère année d'études supérieures
2;0;1;2;;1;CERFAL-UFA Campus Montsouris;DCG;2nd année d'études supérieures
;1;;;;;CERFAL-UFA Campus Montsouris;DCG;4ème année d'études supérieures ou plus
;;0;;;1;CERFAL-UFA Campus Montsouris;Formations professionnelles;3ème année d'études supérieures
0;0;0;1;;;CERFAL-UFA Campus Montsouris;Licence professionnelle;3ème année d'études supérieures
4;3;4;2;4;4;CERFAL-UFA Campus Montsouris;Terminale;Terminale
1;;;;;;CESI Ecole d'ingénieurs - Cycle préparatoire technologique;Formations des écoles d'ingénieurs;1ère année d'études supérieures
;1;;;;;CESI Ecole d'ingénieurs - Cycle préparatoire technologique;Formations des écoles d'ingénieurs;3ème année d'études supérieures
;;0;;;;CESI Ecole d'ingénieurs - Cycle préparatoire technologique;Terminale;Terminale
;1;;;1;;CFA Bélliard ALIMENTATION-HOTELLERIE;BTS - BTSA - BTSM;1ère année d'études supérieures
;;0;;;;CFA Bélliard ALIMENTATION-HOTELLERIE;BTS - BTSA - BTSM;2nd année d'études supérieures
;0;;;1;;CFA Bélliard ALIMENTATION-HOTELLERIE;Certificats de spécialisation et FCIL;Année préparatoire aux études supérieures
1;;;;;;CFA Bélliard ALIMENTATION-HOTELLERIE;Formations aux métiers de l'hôtellerie restauration;1ère année d'études supérieures
1;;;1;;;CFA Bélliard ALIMENTATION-HOTELLERIE;Formations professionnelles;1ère année d'études supérieures
;0;2;;;2;CFA Bélliard ALIMENTATION-HOTELLERIE;Mise à niveau (MANAA, MANH, ...);Année préparatoire aux études supérieures
2;;1;1;;3;CFA Bélliard ALIMENTATION-HOTELLERIE;Terminale;Terminale
1;;;1;;;CFA BOULANGERIE ET PATISSERIE;Certificats de spécialisation et FCIL;Année préparatoire aux études supérieures
2;1;;1;1;;CFA BOULANGERIE ET PATISSERIE;Formations professionnelles;1ère année d'études supérieures
0;0;1;;;1;CFA BOULANGERIE ET PATISSERIE;Terminale;Terminale
0;0;3;;;4;CFA CCIP GOBELINS ECOLE DE L IMAGE;Autre formation du supérieur;3ème année d'études supérieures
;;1;;;1;CFA CCIP GOBELINS ECOLE DE L IMAGE;Formations d'art, de design et du spectacle vivant;1ère année d'études supérieures
0;;1;;;1;CFA CCIP GOBELINS ECOLE DE L IMAGE;Formations d'art, de design et du spectacle vivant;3ème année d'études supérieures
;;0;;;;CFA CCIP GOBELINS ECOLE DE L IMAGE;Formations professionnelles;1ère année d'études supérieures
0;;;;;;CFA CCIP GOBELINS ECOLE DE L IMAGE;Formations professionnelles;3ème année d'études supérieures
0;;0;;;;CFA CCIP GOBELINS ECOLE DE L IMAGE;Licence professionnelle;2nd année d'études supérieures
1;;;1;;;CFA CCIP GOBELINS ECOLE DE L IMAGE;Licence professionnelle;3ème année d'études supérieures
1;;1;2;;1;CFA CFPP PHARMACIE PARIS-IDF;Autre formation du supérieur;1ère année d'études supérieures
0;0;;;1;;CFA CFPP PHARMACIE PARIS-IDF;Autre formation du supérieur;2nd année d'études supérieures
;0;;;;;CFA CFPP PHARMACIE PARIS-IDF;Autre formation du supérieur;4ème année d'études supérieures ou plus
2;1;0;2;1;1;CFA CFPP PHARMACIE PARIS-IDF;Formations professionnelles;1ère année d'études supérieures
;1;1;;1;1;CFA CFPP PHARMACIE PARIS-IDF;Formations professionnelles;2nd année d'études supérieures
;;1;;;;CFA CFPP PHARMACIE PARIS-IDF;Formations professionnelles;3ème année d'études supérieures
;;0;;;;CFA CFPP PHARMACIE PARIS-IDF;Licence professionnelle;1ère année d'études supérieures
;1;;;1;;CFA CFPP PHARMACIE PARIS-IDF;Prépa formation en soins infirmiers;Année préparatoire aux études supérieures
;0;1;;;2;CFA CFPP PHARMACIE PARIS-IDF;Prépa formation paramédicale (prépa orthophoniste, ...);Année préparatoire aux études supérieures
;0;0;;;1;CFA CFPP PHARMACIE PARIS-IDF;Terminale;Terminale
2;0;1;1;;;CFA CIFCA COMMERCES DE L''ALIMENTATION;BTS - BTSA - BTSM;1ère année d'études supérieures
0;1;1;;1;1;CFA CIFCA COMMERCES DE L''ALIMENTATION;BTS - BTSA - BTSM;2nd année d'études supérieures
0;;;;;;CFA CIFCA COMMERCES DE L''ALIMENTATION;Formations professionnelles;3ème année d'études supérieures
3;0;3;2;;2;CFA CIFCA COMMERCES DE L''ALIMENTATION;Terminale;Terminale
;2;0;;2;;CFA CODIS COMMERCE DISTRIBUTION SERVICES;Autre formation du supérieur;1ère année d'études supérieures
1;1;;;1;;CFA CODIS COMMERCE DISTRIBUTION SERVICES;Autre formation du supérieur;2nd année d'études supérieures
;0;;;;;CFA CODIS COMMERCE DISTRIBUTION SERVICES;Autre formation du supérieur;3ème année d'études supérieures
;;1;;;1;CFA CODIS COMMERCE DISTRIBUTION SERVICES;Autre formation du supérieur;4ème année d'études supérieures ou plus
2;10;6;;7;5;CFA CODIS COMMERCE DISTRIBUTION SERVICES;BTS - BTSA - BTSM;1ère année d'études supérieures
0;3;1;;2;1;CFA CODIS COMMERCE DISTRIBUTION SERVICES;BTS - BTSA - BTSM;2nd année d'études supérieures
1;;;;;;CFA CODIS COMMERCE DISTRIBUTION SERVICES;Formations d'art, de design et du spectacle vivant;1ère année d'études supérieures
0;;;;;;CFA CODIS COMMERCE DISTRIBUTION SERVICES;Formations professionnelles;1ère année d'études supérieures
;0;0;;;2;CFA CODIS COMMERCE DISTRIBUTION SERVICES;Formations professionnelles;2nd année d'études supérieures
;0;;;1;;CFA CODIS COMMERCE DISTRIBUTION SERVICES;Licence professionnelle;2nd année d'études supérieures
0;0;0;;;;CFA CODIS COMMERCE DISTRIBUTION SERVICES;Licence professionnelle;3ème année d'études supérieures
1;10;0;;10;;CFA CODIS COMMERCE DISTRIBUTION SERVICES;Terminale;Terminale
1;0;1;1;;1;CFA COUTURE-HABILLEMENT;BTS - BTSA - BTSM;1ère année d'études supérieures
0;;;;;;CFA COUTURE-HABILLEMENT;Formations professionnelles;1ère année d'études supérieures
1;;;1;;;CFA des Ressources Humaines- de l'Ecole Supérieure Prviée des Ressources Humaines.;Autre formation du supérieur;4ème année d'études supérieures ou plus
;0;0;;;;CFA des Ressources Humaines- de l'Ecole Supérieure Prviée des Ressources Humaines.;Licence professionnelle;3ème année d'études supérieures
;;0;;;;CFA des Ressources Humaines- de l'Ecole Supérieure Prviée des Ressources Humaines.;Terminale;Terminale
1;;;;;;CFA Dorian (public) OPERATEUR-GEOMETRE;Autre formation du supérieur;1ère année d'études supérieures
5;2;0;3;2;;CFA Dorian (public) OPERATEUR-GEOMETRE;BTS - BTSA - BTSM;1ère année d'études supérieures
4;0;2;2;;;CFA Dorian (public) OPERATEUR-GEOMETRE;BTS - BTSA - BTSM;2nd année d'études supérieures
0;0;;;;;CFA Dorian (public) OPERATEUR-GEOMETRE;Terminale;Terminale
;3;0;;3;1;CFA du Bâtiment Saint-Lambert Formation;BTS - BTSA - BTSM;1ère année d'études supérieures
0;0;0;;;;CFA du Bâtiment Saint-Lambert Formation;BTS - BTSA - BTSM;2nd année d'études supérieures
;;0;;;1;CFA du Bâtiment Saint-Lambert Formation;BTS - BTSA - BTSM;3ème année d'études supérieures
;1;;;1;;CFA du Bâtiment Saint-Lambert Formation;DCG;1ère année d'études supérieures
;;0;;;;CFA du Bâtiment Saint-Lambert Formation;Formations professionnelles;2nd année d'études supérieures
1;2;5;;2;3;CFA du Bâtiment Saint-Lambert Formation;Terminale;Terminale
2;1;;1;1;;CFA ECOLE DES FLEURISTES DE PARIS;Autre formation du supérieur;1ère année d'études supérieures
0;;;;;;CFA ECOLE DES FLEURISTES DE PARIS;Autre formation du supérieur;4ème année d'études supérieures ou plus
1;;;1;;;CFA ECOLE DES FLEURISTES DE PARIS;BTS - BTSA - BTSM;3ème année d'études supérieures
;1;;;;;CFA ECOLE DES FLEURISTES DE PARIS;Certificats de spécialisation et FCIL;Année préparatoire aux études supérieures
3;2;0;2;2;1;CFA ECOLE DES FLEURISTES DE PARIS;Formations professionnelles;1ère année d'études supérieures
1;;;1;;;CFA ECOLE DES FLEURISTES DE PARIS;Formations professionnelles;2nd année d'études supérieures
;;1;;;1;CFA ECOLE DES FLEURISTES DE PARIS;Formations professionnelles;3ème année d'études supérieures
2;2;0;3;2;1;CFA ECOLE DES FLEURISTES DE PARIS;Terminale;Terminale
;0;;;;;CFA FERRANDI Paris;Autre formation du supérieur;1ère année d'études supérieures
0;;;;;;CFA FERRANDI Paris;Autre formation du supérieur;2nd année d'études supérieures
;1;;;1;;CFA FERRANDI Paris;Autre formation du supérieur;3ème année d'études supérieures
0;1;1;;1;1;CFA FERRANDI Paris;BTS - BTSA - BTSM;1ère année d'études supérieures
1;0;2;1;1;2;CFA FERRANDI Paris;BTS - BTSA - BTSM;2nd année d'études supérieures
0;2;;;2;;CFA FERRANDI Paris;Certificats de spécialisation et FCIL;Année préparatoire aux études supérieures
0;1;;1;1;;CFA FERRANDI Paris;Formations aux métiers de l'hôtellerie restauration;1ère année d'études supérieures
0;2;2;;2;2;CFA FERRANDI Paris;Formations professionnelles;1ère année d'études supérieures
0;0;2;;;2;CFA FERRANDI Paris;Mise à niveau (MANAA, MANH, ...);Année préparatoire aux études supérieures
9;9;9;30;19;21;CFA FERRANDI Paris;Terminale;Terminale
0;;;;;;CFA FORMASUP PARIS-RECTORAT PARIS;Terminale;Terminale
;0;;;;;CFA IGS;Autre formation du supérieur;1ère année d'études supérieures
0;;;;;;CFA IGS;Autre formation du supérieur;2nd année d'études supérieures
1;;;1;;;CFA IGS;Autre formation du supérieur;3ème année d'études supérieures
1;1;;1;1;;CFA IGS;Autre formation du supérieur;4ème année d'études supérieures ou plus
2;7;7;;6;5;CFA IGS;BTS - BTSA - BTSM;1ère année d'études supérieures
0;3;0;;3;;CFA IGS;BTS - BTSA - BTSM;2nd année d'études supérieures
;;0;;;;CFA IGS;DCG;1ère année d'études supérieures
;;1;;;1;CFA IGS;Formations professionnelles;1ère année d'études supérieures
;1;0;;1;;CFA IGS;Formations professionnelles;2nd année d'études supérieures
;;0;;;;CFA IGS;Formations professionnelles;3ème année d'études supérieures
;1;0;;1;;CFA IGS;Licence professionnelle;3ème année d'études supérieures
;0;2;;;3;CFA IGS;Terminale;Terminale
0;1;1;;1;2;CFA INST SUP ELECTRONIQUE DE PARIS;CPGE;1ère année d'études supérieures
0;1;0;;1;;CFA INST SUP ELECTRONIQUE DE PARIS;CPGE;2nd année d'études supérieures
0;;;;;;CFA INST SUP ELECTRONIQUE DE PARIS;Formations préparatoires à l'enseignement supérieur;Année préparatoire aux études supérieures
1;;1;1;;;CFA INST SUP ELECTRONIQUE DE PARIS;Formations professionnelles;1ère année d'études supérieures
;1;;;;;CFA INST SUP ELECTRONIQUE DE PARIS;Prépa autres écoles (Arts, Audiovisuel, Hôtellerie, ...);Année préparatoire aux études supérieures
2;;1;2;;1;CFA Médéric ALIMENTATION HOTELLERIE;Autre formation du supérieur;1ère année d'études supérieures
1;1;2;1;1;1;CFA Médéric ALIMENTATION HOTELLERIE;BTS - BTSA - BTSM;1ère année d'études supérieures
0;;0;;;;CFA Médéric ALIMENTATION HOTELLERIE;BTS - BTSA - BTSM;2nd année d'études supérieures
0;;;;;;CFA Médéric ALIMENTATION HOTELLERIE;Certificats de spécialisation et FCIL;Année préparatoire aux études supérieures
0;;;;;;CFA Médéric ALIMENTATION HOTELLERIE;Formations aux métiers de l'hôtellerie restauration;1ère année d'études supérieures
;0;;;;;CFA Médéric ALIMENTATION HOTELLERIE;Formations aux métiers de l'hôtellerie restauration;2nd année d'études supérieures
0;;;;;;CFA Médéric ALIMENTATION HOTELLERIE;Formations aux métiers de l'hôtellerie restauration;3ème année d'études supérieures
0;1;2;;1;1;CFA Médéric ALIMENTATION HOTELLERIE;Formations professionnelles;1ère année d'études supérieures
1;0;1;5;;1;CFA Médéric ALIMENTATION HOTELLERIE;Mise à niveau (MANAA, MANH, ...);Année préparatoire aux études supérieures
3;3;3;2;5;2;CFA Médéric ALIMENTATION HOTELLERIE;Terminale;Terminale
0;;1;;;1;CFA MET ANIMAT SPORTIVE SOCIOCULTU;Terminale;Terminale
