Nb de candidats ayant fait au moins un vœu confirmé PP;Nb de cddt ayant au moins une proposition Parcoursup;Etablissement;Type de formation de la scolarité;Profil synthétique candidat;Sexe;Académie de rattachement
1;1;AFTRAL CFA TL Aulnay-Sous-Bois;Formations professionnelles;Etudiants (réorientation, mise à niveau);M;Créteil
0;;AFTRAL CFA TL Noisiel ;Autre formation du supérieur;Etudiants (réorientation, mise à niveau);F;Créteil
0;;AFTRAL CFA TL Noisiel ;Terminale;Lycéens de Terminale;F;Créteil
0;;AFTRAL CFA TL Noisiel ;Terminale;Lycéens de Terminale;M;Créteil
0;;AFTRAL CFA TL RUNGIS;Terminale;Lycéens de Terminale;M;Créteil
0;;AFTRAL CFA TL Savigny-Le-Temple;BTS - BTSA - BTSM;Non scolarisés;M;Créteil
0;;Aivancity School for Technology Business and Society;Autre formation du supérieur;Etudiants (réorientation, mise à niveau);F;Créteil
0;;Aivancity School for Technology Business and Society;Autre formation du supérieur;Etudiants (réorientation, mise à niveau);M;Créteil
3;2;Aivancity School for Technology Business and Society;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);F;Créteil
0;1;Aivancity School for Technology Business and Society;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);M;Créteil
1;1;Aivancity School for Technology Business and Society;BTS - BTSA - BTSM;Non scolarisés;M;Créteil
1;1;Aivancity School for Technology Business and Society;Formations professionnelles;Etudiants (réorientation, mise à niveau);F;Créteil
1;1;Akalis - collège de Paris - Ecole santé et juridique;Autre formation du supérieur;Etudiants (réorientation, mise à niveau);F;Versailles
1;;Akalis - collège de Paris - Ecole santé et juridique;Autre formation du supérieur;Etudiants (réorientation, mise à niveau);M;Versailles
1;2;Akalis - collège de Paris - Ecole santé et juridique;Autre formation du supérieur;Non scolarisés;F;Versailles
20;14;Akalis - collège de Paris - Ecole santé et juridique;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);F;Versailles
9;5;Akalis - collège de Paris - Ecole santé et juridique;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);M;Versailles
2;2;Akalis - collège de Paris - Ecole santé et juridique;BTS - BTSA - BTSM;Non scolarisés;F;Versailles
2;1;Akalis - collège de Paris - Ecole santé et juridique;BTS - BTSA - BTSM;Non scolarisés;M;Versailles
0;;Akalis - collège de Paris - Ecole santé et juridique;DCG;Etudiants (réorientation, mise à niveau);F;Versailles
0;;Akalis - collège de Paris - Ecole santé et juridique;Etudes de santé;Etudiants (réorientation, mise à niveau);F;Versailles
1;;Akalis - collège de Paris - Ecole santé et juridique;Etudes de santé;Etudiants (réorientation, mise à niveau);M;Versailles
2;1;Akalis - collège de Paris - Ecole santé et juridique;Formations professionnelles;Etudiants (réorientation, mise à niveau);F;Versailles
2;1;Akalis - collège de Paris - Ecole santé et juridique;Formations professionnelles;Etudiants (réorientation, mise à niveau);M;Versailles
2;2;Annexe du lycée Jacques Amyot (Melun);Terminale;Lycéens de Terminale;F;Créteil
1;1;Annexe du lycée Jacques Amyot (Melun);Terminale;Lycéens de Terminale;M;Créteil
1;1;Annexe du Lycée Lakanal;CPGE;Etudiants (réorientation, mise à niveau);F;Versailles
19;17;Annexe du Lycée Lakanal;Terminale;Lycéens de Terminale;F;Versailles
11;11;Annexe du Lycée Lakanal;Terminale;Lycéens de Terminale;M;Versailles
0;;ANTENNE DE CFA ACPPAV;Autre formation du secondaire;Autres;F;Versailles
0;;ANTENNE DE CFA ACPPAV;Autre formation du supérieur;Etudiants (réorientation, mise à niveau);F;Versailles
0;3;ANTENNE DE CFA ACPPAV;Formations professionnelles;Etudiants (réorientation, mise à niveau);F;Versailles
0;2;ANTENNE DE CFA ACPPAV;Formations professionnelles;Etudiants (réorientation, mise à niveau);M;Versailles
1;1;ANTENNE DE CFA ACPPAV;Terminale;Etudiants (réorientation, mise à niveau);F;Versailles
1;1;ANTENNE DE CFA ACPPAV;Terminale;Lycéens de Terminale;F;Versailles
0;;ANTENNE DE CFA AFORPA GUYANCOURT;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);F;Versailles
0;;ANTENNE DE CFA AFORPA GUYANCOURT;Terminale;Lycéens de Terminale;F;Versailles
0;;ANTENNE DE CFA AFORPA GUYANCOURT;Terminale;Lycéens de Terminale;M;Versailles
1;;ANTENNE DE CFA ANT DU CFA A.F.F.I.D.A. 78;Terminale;Lycéens de Terminale;F;Versailles
0;;ANTENNE DE CFA ANT DU CFA A.F.F.I.D.A. 78;Terminale;Lycéens de Terminale;M;Versailles
1;;ANTENNE DE CFA ANTENNE CFA LES COMPAGNONS DU;Autre formation du secondaire;Autres;M;Créteil
1;1;ANTENNE DE CFA ANTENNE CFA LES COMPAGNONS DU;Formations professionnelles;Etudiants (réorientation, mise à niveau);M;Créteil
1;1;ANTENNE DE CFA ANTENNE CFA LES COMPAGNONS DU;Première;Autres;M;Créteil
1;;Antenne de CFA Aston Ecole IT - site d'Arcueil;Autre formation du supérieur;Etudiants (réorientation, mise à niveau);M;Créteil
0;;Antenne de CFA Aston Ecole IT - site d'Arcueil;Autre formation du supérieur;Non scolarisés;M;Créteil
0;;Antenne de CFA Aston Ecole IT - site d'Arcueil;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);M;Créteil
2;3;Antenne de CFA Aston Ecole IT - site d'Arcueil;Formations professionnelles;Etudiants (réorientation, mise à niveau);M;Créteil
1;;Antenne de CFA Aston Ecole IT - site d'Arcueil;Formations professionnelles;Non scolarisés;M;Créteil
1;1;ANTENNE DE CFA CAMAS ORLY;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);F;Créteil
0;;ANTENNE DE CFA DU CFAI 77 DE VAUX-LE-PENIL;Terminale;Lycéens de Terminale;M;Créteil
0;1;Antenne du Centre de formation d'apprentis Fraternité Saint-Jean;Terminale;Lycéens de Terminale;M;Versailles
2;2;Antenne du Centre de formation d'apprentis Métiers de l'Aérien;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);M;Versailles
2;1;Antenne du Centre de formation d'apprentis Métiers de l'Aérien;Certificats de spécialisation et FCIL;Etudiants (réorientation, mise à niveau);F;Versailles
0;;Antenne du Centre de formation d'apprentis Métiers de l'Aérien;Terminale;Etudiants (réorientation, mise à niveau);M;Versailles
1;1;Antenne du Centre de formation d'apprentis Métiers de l'Aérien;Terminale;Lycéens de Terminale;F;Versailles
0;;Antenne du Centre de formation d'apprentis Métiers de l'Aérien;Terminale;Lycéens de Terminale;M;Versailles
0;1;ANTENNE DU CFA IGS;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);F;Paris
0;;ANTENNE DU CFA IGS;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);M;Paris
0;;ANTENNE DU CFA IGS;Licence professionnelle;Non scolarisés;F;Paris
3;3;Antenne - Institut Universitaire de Technologie Juvisy sur Orge - Université d'Evry Val d'Essonne;BUT;Etudiants (réorientation, mise à niveau);F;Versailles
1;1;Antenne - Institut Universitaire de Technologie Juvisy sur Orge - Université d'Evry Val d'Essonne;BUT;Etudiants (réorientation, mise à niveau);M;Versailles
1;1;Antenne - Institut Universitaire de Technologie Juvisy sur Orge - Université d'Evry Val d'Essonne;BUT;Non scolarisés;M;Versailles
0;;ASCENCIA - Evry;Formations des écoles de commerce et de management;Etudiants (réorientation, mise à niveau);F;Versailles
0;1;ASCENCIA - Evry;Formations des écoles de commerce et de management;Etudiants (réorientation, mise à niveau);M;Versailles
1;1;ASCENCIA - Evry;Formations des écoles de commerce et de management;Non scolarisés;F;Versailles
0;;ASCENCIA Marne-la-Vallée;Autre formation du supérieur;Etudiants (réorientation, mise à niveau);F;Créteil
1;1;ASCENCIA Marne-la-Vallée;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);F;Créteil
3;3;Ascencia - Paris-la-Défense;Formations des écoles de commerce et de management;Etudiants (réorientation, mise à niveau);F;Versailles
3;2;Ascencia - Paris-la-Défense;Formations des écoles de commerce et de management;Etudiants (réorientation, mise à niveau);M;Versailles
2;2;ASCENCIA - Saint-Quentin-en-Yvelines;Formations des écoles de commerce et de management;Etudiants (réorientation, mise à niveau);F;Versailles
4;5;Assas Formations Santé;Etudes de santé;Etudiants (réorientation, mise à niveau);F;Versailles
2;2;ASSOCIATION ESUP Group - établissement de Paris;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);F;Versailles
3;1;ASSOCIATION ESUP Group - établissement de Paris;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);M;Versailles
0;;ASSOCIATION ESUP Group - établissement de Paris;BTS - BTSA - BTSM;Non scolarisés;F;Versailles
1;;ASSOCIATION ESUP Group - établissement de Paris;BTS - BTSA - BTSM;Non scolarisés;M;Versailles
1;1;ASSOCIATION ESUP Group - établissement de Paris;Formations des écoles de commerce et de management;Non scolarisés;F;Versailles
0;;ASSO FORMAT BIOCHIM BIOL ECOLE;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);F;Paris
1;;ASSO FORMAT BIOCHIM BIOL ECOLE;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);M;Paris
3;3;AUDENCIA - SAINT-OUEN;Formations des écoles de commerce et de management;Etudiants (réorientation, mise à niveau);F;Créteil
5;4;AUDENCIA - SAINT-OUEN;Formations des écoles de commerce et de management;Etudiants (réorientation, mise à niveau);M;Créteil
1;1;Aureïs formation;Autre formation du supérieur;Etudiants (réorientation, mise à niveau);F;Paris
0;;Aureïs formation;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);F;Paris
0;;Aureïs formation;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);M;Paris
0;;AURLOM PREPA;Autre formation du supérieur;Etudiants (réorientation, mise à niveau);F;Paris
0;;AURLOM PREPA;Autre formation du supérieur;Etudiants (réorientation, mise à niveau);M;Paris
41;29;AURLOM PREPA;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);F;Paris
38;27;AURLOM PREPA;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);M;Paris
17;18;AURLOM PREPA;BTS - BTSA - BTSM;Non scolarisés;F;Paris
9;3;AURLOM PREPA;BTS - BTSA - BTSM;Non scolarisés;M;Paris
1;1;AURLOM PREPA;Formations professionnelles;Etudiants (réorientation, mise à niveau);F;Paris
0;;Beth Sefer Yad Mordekhai;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);F;Paris
8;7;Beth Sefer Yad Mordekhai;Terminale;Lycéens de Terminale;F;Paris
1;;BTP CFA;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);M;Versailles
2;2;BTP CFA;Terminale;Lycéens de Terminale;M;Versailles
4;4;BUC RESSOURCES;Formations diplômantes du travail social;Etudiants (réorientation, mise à niveau);F;Versailles
1;;BUC RESSOURCES;Formations diplômantes du travail social;Etudiants (réorientation, mise à niveau);M;Versailles
2;2;BUC RESSOURCES;Formations diplômantes du travail social;Non scolarisés;F;Versailles
1;1;Campus des métiers de l'entreprise;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);F;Créteil
0;;Campus des métiers de l'entreprise;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);M;Créteil
1;;Campus des métiers de l'entreprise;BTS - BTSA - BTSM;Non scolarisés;M;Créteil
0;;Campus des métiers de l'entreprise;Licence professionnelle;Non scolarisés;F;Créteil
0;;Campus des métiers de l'entreprise;Terminale;Lycéens de Terminale;F;Créteil
1;3;Campus des métiers de l'entreprise;Terminale;Lycéens de Terminale;M;Créteil
2;1;Campus Formations et Métiers;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);F;Créteil
1;1;Campus Formations et Métiers;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);M;Créteil
1;;Campus Formations et Métiers;BTS - BTSA - BTSM;Non scolarisés;F;Créteil
1;;Campus Formations et Métiers;BTS - BTSA - BTSM;Non scolarisés;M;Créteil
1;1;Campus Formations et Métiers;Licence professionnelle;Etudiants (réorientation, mise à niveau);F;Créteil
1;1;CEMEA ILE-DE-FRANCE-CFPES;Formations diplômantes du travail social;Etudiants (réorientation, mise à niveau);F;Créteil
3;3;CentraleSupélec;Formations des écoles d'ingénieurs;Etudiants (réorientation, mise à niveau);F;Versailles
3;3;CentraleSupélec;Formations des écoles d'ingénieurs;Etudiants (réorientation, mise à niveau);M;Versailles
0;1;CENTRE DE FORMATION CONTINUE  CAMILLE SELINE;Terminale;Lycéens de Terminale;F;Versailles
0;;Centre de Formation continue - Institut parisien de formation;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);F;Paris
1;1;Centre de Formation continue - Institut parisien de formation;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);M;Paris
0;;Centre de Formation continue - Institut parisien de formation;Licence professionnelle;Etudiants (réorientation, mise à niveau);F;Paris
0;;Centre de Formation continue - Institut parisien de formation;Terminale;Non scolarisés;F;Paris
0;;Centre de Formation continue - Private french university;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);F;Paris
1;1;CENTRE DE FORMATION D'APPRENTIS AFORP - FORMATION;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);M;Créteil
0;;CENTRE DE FORMATION D'APPRENTIS AFORP - FORMATION;BTS - BTSA - BTSM;Non scolarisés;M;Créteil
0;;CENTRE DE FORMATION D'APPRENTIS AFORP - FORMATION;Licence professionnelle;Etudiants (réorientation, mise à niveau);M;Créteil
0;;CENTRE DE FORMATION D'APPRENTIS AFORP - FORMATION;Licence professionnelle;Non scolarisés;M;Créteil
1;1;CENTRE DE FORMATION D'APPRENTIS AFORP - FORMATION;Terminale;Non scolarisés;M;Créteil
1;;Centre de formation d'apprentis Association de formation aux métiers de l'Audio Visuel;Autre formation du supérieur;Etudiants (réorientation, mise à niveau);F;Versailles
1;1;Centre de formation d'apprentis Association de formation aux métiers de l'Audio Visuel;Formations professionnelles;Non scolarisés;F;Versailles
1;1;Centre de formation d'apprentis Association de formation aux métiers de l'Audio Visuel;Formations professionnelles;Non scolarisés;M;Versailles
0;;Centre de Formation d'apprentis - CCI Paris centre des formations industrielles;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);F;Paris
0;;Centre de Formation d'apprentis - CCI Paris centre des formations industrielles;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);M;Paris
0;;Centre de Formation d'apprentis - CCI Paris centre des formations industrielles;Licence professionnelle;Etudiants (réorientation, mise à niveau);M;Paris
1;8;Centre de Formation d'apprentis - CCI Paris centre des formations industrielles;Terminale;Lycéens de Terminale;M;Paris
2;3;Centre de formation d'apprentis Lohanda;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);F;Versailles
1;1;Centre de formation d'apprentis Lohanda;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);M;Versailles
0;;Centre de formation d'apprentis Lohanda;BTS - BTSA - BTSM;Non scolarisés;M;Versailles
2;2;Centre de formation d'apprentis Lohanda;DCG;Etudiants (réorientation, mise à niveau);F;Versailles
0;;CENTRE DE FORMATION ISCG;Autre formation du supérieur;Etudiants (réorientation, mise à niveau);F;Paris
6;5;CENTRE DE FORMATION ISCG;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);F;Paris
1;1;CENTRE DE FORMATION ISCG;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);M;Paris
2;2;CENTRE DE FORMATION ISCG;BTS - BTSA - BTSM;Non scolarisés;F;Paris
1;;CENTRE DE FORMATION ISCG;BTS - BTSA - BTSM;Non scolarisés;M;Paris
0;1;CENTRE DE FORMATION ISCG;Formations professionnelles;Etudiants (réorientation, mise à niveau);F;Paris
0;;CENTRE DE FORMATION ISCG;Licence professionnelle;Etudiants (réorientation, mise à niveau);F;Paris
2;2;CENTRE DE FORMATION L'HORIZON;Formations diplômantes du travail social;Etudiants (réorientation, mise à niveau);F;Versailles
2;1;CENTRE DE FORMATION L'HORIZON;Formations diplômantes du travail social;Non scolarisés;F;Versailles
1;1;Centre de formation MMI DECO ;Formations professionnelles;Etudiants (réorientation, mise à niveau);F;Paris
1;1;Centre d'enseignement à distance Cours Minerve;Terminale;Lycéens de Terminale;F;Versailles
4;3;Centre d'Enseignement à Distance - Educ'etic à distance;Terminale;Lycéens de Terminale;F;Versailles
1;1;Centre d'Enseignement à Distance - Educ'etic à distance;Terminale;Lycéens de Terminale;M;Versailles
1;1;Centre de préparation au diplôme d'état d'audioprothèsiste Conservatoire National des Arts et Métiers;Année préparatoire à la capacité en droit;Autres;F;Paris
1;1;Centre de préparation au diplôme d'état d'audioprothèsiste Conservatoire National des Arts et Métiers;Autre formation du supérieur;Etudiants (réorientation, mise à niveau);F;Paris
0;;Centre de préparation au diplôme d'état d'audioprothèsiste Conservatoire National des Arts et Métiers;DCG;Etudiants (réorientation, mise à niveau);F;Paris
0;;Centre de préparation au diplôme d'état d'audioprothèsiste Conservatoire National des Arts et Métiers;DCG;Etudiants (réorientation, mise à niveau);M;Paris
0;;Centre de préparation au diplôme d'état d'audioprothèsiste Conservatoire National des Arts et Métiers;DEUST;Etudiants (réorientation, mise à niveau);M;Paris
3;3;Centre de préparation au diplôme d'état d'audioprothèsiste Conservatoire National des Arts et Métiers;Diplômes d'université ou d'établissement;Etudiants (réorientation, mise à niveau);F;Paris
1;1;Centre de préparation au diplôme d'état d'audioprothèsiste Conservatoire National des Arts et Métiers;Diplômes d'université ou d'établissement;Etudiants (réorientation, mise à niveau);M;Paris
0;;Centre de préparation au diplôme d'état d'audioprothèsiste Conservatoire National des Arts et Métiers;Formations des écoles d'ingénieurs;Etudiants (réorientation, mise à niveau);M;Paris
2;1;Centre de préparation au diplôme d'état d'audioprothèsiste Conservatoire National des Arts et Métiers;Licence;Etudiants (réorientation, mise à niveau);F;Paris
1;1;Centre de préparation au diplôme d'état d'audioprothèsiste Conservatoire National des Arts et Métiers;Licence;Etudiants (réorientation, mise à niveau);M;Paris
0;;Centre de préparation au diplôme d'état d'audioprothèsiste Conservatoire National des Arts et Métiers;Licence professionnelle;Etudiants (réorientation, mise à niveau);F;Paris
0;;Centre de préparation au diplôme d'état d'audioprothèsiste Conservatoire National des Arts et Métiers;Licence professionnelle;Etudiants (réorientation, mise à niveau);M;Paris
0;;Centre de préparation au diplôme d'état d'audioprothèsiste Conservatoire National des Arts et Métiers;Master;Etudiants (réorientation, mise à niveau);F;Paris
1;1;Centre de préparation au diplôme d'état d'audioprothèsiste Conservatoire National des Arts et Métiers;Master;Etudiants (réorientation, mise à niveau);M;Paris
3;3;Centre de Ressources, d'Expertise et de Performance Sportive d'Ile de France (CREPS);Formations aux métiers du sport;Etudiants (réorientation, mise à niveau);F;Versailles
1;1;Centre de Ressources, d'Expertise et de Performance Sportive d'Ile de France (CREPS);Formations aux métiers du sport;Etudiants (réorientation, mise à niveau);M;Versailles
4;3;Centre de Ressources, d'Expertise et de Performance Sportive d'Ile de France (CREPS);Formations professionnelles;Etudiants (réorientation, mise à niveau);M;Versailles
0;;Centre de Ressources, d'Expertise et de Performance Sportive d'Ile de France (CREPS);Prépa formation du secteur social (prépa Educ. spécialisé, ...);Etudiants (réorientation, mise à niveau);M;Versailles
1;1;Centre de Ressources, d'Expertise et de Performance Sportive d'Ile de France (CREPS);Terminale;Lycéens de Terminale;M;Versailles
0;;Centre du Jard Annexe léonard de vinci;Terminale;Lycéens de Terminale;F;Créteil
1;1;Centre du Jard Annexe léonard de vinci;Terminale;Lycéens de Terminale;M;Créteil
7;5;CENTRE FORMATION SAINT-HONORE;Formations diplômantes du travail social;Etudiants (réorientation, mise à niveau);F;Paris
3;3;CENTRE FORMATION SAINT-HONORE;Formations diplômantes du travail social;Etudiants (réorientation, mise à niveau);M;Paris
2;2;CENTRE FORMATION SAINT-HONORE;Formations diplômantes du travail social;Non scolarisés;F;Paris
4;4;CENTRE MEDICAL PEDAGOGIQUE JACQUES ARNAUD;Terminale;Lycéens de Terminale;F;Versailles
4;4;Centre Régional du Conservatoire National des Arts et Métiers d Ile-de-France;Autre formation du supérieur;Etudiants (réorientation, mise à niveau);F;Paris
3;2;Centre Régional du Conservatoire National des Arts et Métiers d Ile-de-France;Autre formation du supérieur;Etudiants (réorientation, mise à niveau);M;Paris
1;;Centre Régional du Conservatoire National des Arts et Métiers d Ile-de-France;Autre formation du supérieur;Non scolarisés;F;Paris
0;;Centre Régional du Conservatoire National des Arts et Métiers d Ile-de-France;Classe de remise à niveau (Scientifique, pour entrer en BTS, ...);Etudiants (réorientation, mise à niveau);F;Paris
0;;Centre Régional du Conservatoire National des Arts et Métiers d Ile-de-France;Classe de remise à niveau (Scientifique, pour entrer en BTS, ...);Etudiants (réorientation, mise à niveau);M;Paris
2;1;Centre Régional du Conservatoire National des Arts et Métiers d Ile-de-France;DCG;Etudiants (réorientation, mise à niveau);F;Paris
1;;Centre Régional du Conservatoire National des Arts et Métiers d Ile-de-France;DCG;Etudiants (réorientation, mise à niveau);M;Paris
1;1;Centre Régional du Conservatoire National des Arts et Métiers d Ile-de-France;Etudes de santé;Etudiants (réorientation, mise à niveau);F;Paris
2;2;Centre Régional du Conservatoire National des Arts et Métiers d Ile-de-France;Etudes de santé;Etudiants (réorientation, mise à niveau);M;Paris
2;;Centre Régional du Conservatoire National des Arts et Métiers d Ile-de-France;Formations préparatoires à l'enseignement supérieur;Etudiants (réorientation, mise à niveau);F;Paris
2;;Centre Régional du Conservatoire National des Arts et Métiers d Ile-de-France;Formations préparatoires à l'enseignement supérieur;Etudiants (réorientation, mise à niveau);M;Paris
2;2;Centre Régional du Conservatoire National des Arts et Métiers d Ile-de-France;Formations professionnelles;Etudiants (réorientation, mise à niveau);F;Paris
4;2;Centre Régional du Conservatoire National des Arts et Métiers d Ile-de-France;Formations professionnelles;Etudiants (réorientation, mise à niveau);M;Paris
0;;Centre Régional du Conservatoire National des Arts et Métiers d Ile-de-France;Prépa autres écoles (Arts, Audiovisuel, Hôtellerie, ...);Etudiants (réorientation, mise à niveau);F;Paris
1;1;Centre Régional du Conservatoire National des Arts et Métiers d Ile-de-France;Prépa autres écoles (Arts, Audiovisuel, Hôtellerie, ...);Etudiants (réorientation, mise à niveau);M;Paris
0;;Centre Régional du Conservatoire National des Arts et Métiers d Ile-de-France;Prépa formation du secteur social (prépa Educ. spécialisé, ...);Etudiants (réorientation, mise à niveau);M;Paris
2;2;CEPROC Centre européen des professions culinaires;Autre formation du secondaire;Autres;F;Paris
0;;CEPROC Centre européen des professions culinaires;Autre formation du secondaire;Autres;M;Paris
1;1;CEPROC Centre européen des professions culinaires;Certificats de spécialisation et FCIL;Etudiants (réorientation, mise à niveau);F;Paris
1;2;CEPROC Centre européen des professions culinaires;Certificats de spécialisation et FCIL;Etudiants (réorientation, mise à niveau);M;Paris
1;1;CEPROC Centre européen des professions culinaires;Formations professionnelles;Etudiants (réorientation, mise à niveau);F;Paris
1;1;CEPROC Centre européen des professions culinaires;Formations professionnelles;Etudiants (réorientation, mise à niveau);M;Paris
0;1;CERFAL-UFA Campus Montsouris;Autre formation du supérieur;Etudiants (réorientation, mise à niveau);M;Paris
3;2;CERFAL-UFA Campus Montsouris;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);F;Paris
6;5;CERFAL-UFA Campus Montsouris;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);M;Paris
2;2;CERFAL-UFA Campus Montsouris;BTS - BTSA - BTSM;Non scolarisés;F;Paris
2;3;CERFAL-UFA Campus Montsouris;BTS - BTSA - BTSM;Non scolarisés;M;Paris
1;;CERFAL-UFA Campus Montsouris;DCG;Etudiants (réorientation, mise à niveau);F;Paris
1;1;CERFAL-UFA Campus Montsouris;DCG;Etudiants (réorientation, mise à niveau);M;Paris
0;;CERFAL-UFA Campus Montsouris;DCG;Non scolarisés;F;Paris
0;;CERFAL-UFA Campus Montsouris;DCG;Non scolarisés;M;Paris
0;;CERFAL-UFA Campus Montsouris;Licence professionnelle;Etudiants (réorientation, mise à niveau);F;Paris
1;2;CERFAL-UFA Campus Montsouris;Terminale;Lycéens de Terminale;F;Paris
2;2;CERFAL-UFA Campus Montsouris;Terminale;Lycéens de Terminale;M;Paris
3;1;CERPE;Formations diplômantes du travail social;Etudiants (réorientation, mise à niveau);F;Créteil
