Nb de candidats ayant fait au moins un vœu confirmé PP;Nb de cddt ayant au moins une proposition Parcoursup;Etablissement;Type de formation de la scolarité;Profil synthétique candidat;Sexe;Académie de rattachement
6;5;3IS Institut International de l'Image et du Son;Formations d'art, de design et du spectacle vivant;Etudiants (réorientation, mise à niveau);F;Versailles
4;3;3IS Institut International de l'Image et du Son;Formations d'art, de design et du spectacle vivant;Etudiants (réorientation, mise à niveau);M;Versailles
0;1;3IS Institut International de l'Image et du Son;Formations d'art, de design et du spectacle vivant;Non scolarisés;F;Versailles
2;1;3IS Institut International de l'Image et du Son;Formations d'art, de design et du spectacle vivant;Non scolarisés;M;Versailles
2;2;ABCDaire du Savoir;Terminale;Lycéens de Terminale;F;Créteil
5;4;ABCDaire du Savoir;Terminale;Lycéens de Terminale;M;Créteil
0;;ABCDaire du Savoir;Terminale;Non scolarisés;F;Créteil
0;;Académie d'Art Dentaire;Terminale;Lycéens de Terminale;F;Versailles
1;;ACFA Multimedia;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);M;Paris
0;;ACMP-IGEFI;DCG;Etudiants (réorientation, mise à niveau);F;Versailles
4;3;ACMP-IGEFI;Formations professionnelles;Etudiants (réorientation, mise à niveau);F;Versailles
1;1;ADEFSA CFA Descartes;Autre formation du supérieur;Etudiants (réorientation, mise à niveau);F;Créteil
2;;ADEFSA CFA Descartes;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);F;Créteil
4;2;ADEFSA CFA Descartes;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);M;Créteil
1;;ADEFSA CFA Descartes;BTS - BTSA - BTSM;Non scolarisés;F;Créteil
1;1;ADEFSA CFA Descartes;Certificats de spécialisation et FCIL;Etudiants (réorientation, mise à niveau);M;Créteil
0;;ADEFSA CFA Descartes;Licence professionnelle;Etudiants (réorientation, mise à niveau);M;Créteil
3;3;AEPO CFA de l'optique;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);F;Paris
6;3;AEPO CFA de l'optique;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);M;Paris
1;;AEPO CFA de l'optique;BTS - BTSA - BTSM;Non scolarisés;F;Paris
0;;AEPO CFA de l'optique;Licence professionnelle;Etudiants (réorientation, mise à niveau);F;Paris
2;9;AEPO CFA de l'optique;Terminale;Lycéens de Terminale;F;Paris
0;5;AEPO CFA de l'optique;Terminale;Lycéens de Terminale;M;Paris
0;;AFANEM;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);M;Créteil
1;1;AFORP Mantes-La-Ville;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);F;Versailles
1;;AFORP Mantes-La-Ville;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);M;Versailles
3;1;AFORP Mantes-La-Ville;Terminale;Lycéens de Terminale;M;Versailles
4;4;AFREP - Institut de formation en pédicurie-podologie;Etudes de santé;Etudiants (réorientation, mise à niveau);F;Paris
0;;AFREP - Institut de formation en pédicurie-podologie;Etudes de santé;Etudiants (réorientation, mise à niveau);M;Paris
1;1;AFREP - Institut de formation en pédicurie-podologie;Etudes de santé;Non scolarisés;F;Paris
0;;AFTRAL CFA ISTELI;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);F;Paris
0;1;AFTRAL CFA ISTELI;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);M;Paris
0;;AFTRAL CFA TL Aulnay-Sous-Bois;Formations professionnelles;Etudiants (réorientation, mise à niveau);F;Créteil
