Nb de candidats ayant fait au moins un vœu confirmé PP;Nb de cddt ayant au moins une proposition Parcoursup;Profil synthétique candidat;Niveau d'études
5638;4572;Etudiants (réorientation, mise à niveau);1ère année d'études supérieures
750;599;Etudiants (réorientation, mise à niveau);2nd année d'études supérieures
505;441;Etudiants (réorientation, mise à niveau);3ème année d'études supérieures
351;453;Etudiants (réorientation, mise à niveau);4ème année d'études supérieures ou plus
986;781;Etudiants (réorientation, mise à niveau);Année préparatoire aux études supérieures
273;209;Non scolarisés;1ère année d'études supérieures
40;28;Non scolarisés;2nd année d'études supérieures
10;6;Non scolarisés;3ème année d'études supérieures
5;7;Non scolarisés;4ème année d'études supérieures ou plus
17;8;Non scolarisés;Année préparatoire aux études supérieures
