Nb de candidats ayant fait au moins un vœu confirmé PP;Nb de cddt ayant au moins une proposition Parcoursup;Profil synthétique candidat;Niveau d'études
5582;4827;Etudiants (réorientation, mise à niveau);1ère année d'études supérieures
741;632;Etudiants (réorientation, mise à niveau);2nd année d'études supérieures
455;457;Etudiants (réorientation, mise à niveau);3ème année d'études supérieures
260;311;Etudiants (réorientation, mise à niveau);4ème année d'études supérieures ou plus
912;698;Etudiants (réorientation, mise à niveau);Année préparatoire aux études supérieures
285;239;Non scolarisés;1ère année d'études supérieures
35;32;Non scolarisés;2nd année d'études supérieures
14;13;Non scolarisés;3ème année d'études supérieures
14;9;Non scolarisés;4ème année d'études supérieures ou plus
28;27;Non scolarisés;Année préparatoire aux études supérieures
