Nb de candidats ayant fait au moins un vœu confirmé PP;Nb d'individus;Etablissement;Type de la classe;Au moins 1 avis favorable en STS (Oui/Non)
1;5;CFA Bélliard ALIMENTATION-HOTELLERIE;Professionnelle;Non concerné
6;7;EREA CROCE SPINELLI;Professionnelle;Non
0;1;EREA CROCE SPINELLI;Professionnelle;Non concerné
7;7;EREA CROCE SPINELLI;Professionnelle;Oui
0;1;GRETA INDUSTRIEL TECHOLOGIES AVANCEES;Professionnelle;Non concerné
31;32;Lycée D'Alembert-Cuir;Professionnelle;Non
22;42;Lycée D'Alembert-Cuir;Professionnelle;Non concerné
26;26;Lycée D'Alembert-Cuir;Professionnelle;Oui
15;17;Lycée des Métiers de l'Hôtellerie Guillaume TIREL;Professionnelle;Non
2;9;Lycée des Métiers de l'Hôtellerie Guillaume TIREL;Professionnelle;Non concerné
15;16;Lycée des Métiers de l'Hôtellerie Guillaume TIREL;Professionnelle;Oui
3;4;Lycée des Métiers Dorian;Professionnelle;Non
3;22;Lycée des Métiers Dorian;Professionnelle;Non concerné
4;5;Lycée des Métiers Dorian;Professionnelle;Oui
2;4;Lycée Des métiers Jean DROUANT;Professionnelle;Non
2;17;Lycée Des métiers Jean DROUANT;Professionnelle;Non concerné
19;19;Lycée Des métiers Jean DROUANT;Professionnelle;Oui
19;20;Lycée Diderot;Professionnelle;Non
2;6;Lycée Diderot;Professionnelle;Non concerné
3;4;Lycée Diderot;Professionnelle;Oui
5;5;Lycée Edgar Quinet;Professionnelle;Non
3;16;Lycée Edgar Quinet;Professionnelle;Non concerné
45;51;Lycée Edgar Quinet;Professionnelle;Oui
30;34;Lycée Elisa Lemonnier;Professionnelle;Non
11;47;Lycée Elisa Lemonnier;Professionnelle;Non concerné
23;26;Lycée Elisa Lemonnier;Professionnelle;Oui
7;7;Lycée Fresnel;Professionnelle;Non
1;1;Lycée Fresnel;Professionnelle;Non concerné
11;11;Lycée Fresnel;Professionnelle;Oui
29;32;Lycée Jacques Monod;Professionnelle;Non
15;34;Lycée Jacques Monod;Professionnelle;Non concerné
34;35;Lycée Jacques Monod;Professionnelle;Oui
18;22;Lycée Jean Lurcat;Professionnelle;Non
0;13;Lycée Jean Lurcat;Professionnelle;Non concerné
25;27;Lycée Jean Lurcat;Professionnelle;Oui
5;7;Lycée Léonard de Vinci;Professionnelle;Non
2;5;Lycée Léonard de Vinci;Professionnelle;Non concerné
11;11;Lycée Léonard de Vinci;Professionnelle;Oui
35;41;Lycée Louis Armand;Professionnelle;Non
1;13;Lycée Louis Armand;Professionnelle;Non concerné
31;31;Lycée Louis Armand;Professionnelle;Oui
0;1;Lycée Lucas De Nehou;Professionnelle;Non
0;8;Lycée Lucas De Nehou;Professionnelle;Non concerné
29;29;Lycée Martin-Nadaud;Professionnelle;Non
3;15;Lycée Martin-Nadaud;Professionnelle;Non concerné
33;33;Lycée Martin-Nadaud;Professionnelle;Oui
19;20;Lycée Maximilien Vox;Professionnelle;Non
2;4;Lycée Maximilien Vox;Professionnelle;Non concerné
13;13;Lycée Maximilien Vox;Professionnelle;Oui
3;6;Lycée Paul Poiret;Professionnelle;Non
3;7;Lycée Paul Poiret;Professionnelle;Non concerné
7;7;Lycée Paul Poiret;Professionnelle;Oui
5;8;Lycée professionnel Armand Carrel;Professionnelle;Non
0;5;Lycée professionnel Armand Carrel;Professionnelle;Non concerné
46;47;Lycée professionnel Armand Carrel;Professionnelle;Oui
35;41;Lycée professionnel Beaugrenelle;Professionnelle;Non
0;14;Lycée professionnel Beaugrenelle;Professionnelle;Non concerné
40;41;Lycée professionnel Beaugrenelle;Professionnelle;Oui
5;6;Lycée professionnel BRASSAI;Professionnelle;Non
5;20;Lycée professionnel BRASSAI;Professionnelle;Non concerné
11;12;Lycée professionnel BRASSAI;Professionnelle;Oui
13;20;Lycée professionnel Camille Jenatzy;Professionnelle;Non
5;32;Lycée professionnel Camille Jenatzy;Professionnelle;Non concerné
17;18;Lycée professionnel Camille Jenatzy;Professionnelle;Oui
25;32;Lycée professionnel Charles De Gaulle;Professionnelle;Non
2;17;Lycée professionnel Charles De Gaulle;Professionnelle;Non concerné
22;23;Lycée professionnel Charles De Gaulle;Professionnelle;Oui
14;22;Lycée professionnel Chenneviere Malezieux;Professionnelle;Non
3;38;Lycée professionnel Chenneviere Malezieux;Professionnelle;Non concerné
17;18;Lycée professionnel Chenneviere Malezieux;Professionnelle;Oui
30;30;Lycée professionnel Claude Anthime Corbon;Professionnelle;Non
1;7;Lycée professionnel Claude Anthime Corbon;Professionnelle;Non concerné
11;11;Lycée professionnel Claude Anthime Corbon;Professionnelle;Oui
9;9;Lycée professionnel Corvisart-Arts Graphiques;Professionnelle;Non
