Nb de candidats ayant fait au moins un vœu confirmé PP;Nb d'individus;Etablissement;Type de la classe;Au moins 1 avis favorable en STS (Oui/Non)
5;5;Lycée Fresnel;Professionnelle;Oui
30;30;Lycée Jacques Monod;Professionnelle;Non
31;45;Lycée Jacques Monod;Professionnelle;Non concerné
31;31;Lycée Jacques Monod;Professionnelle;Oui
23;30;Lycée Jean Lurcat;Professionnelle;Non
1;15;Lycée Jean Lurcat;Professionnelle;Non concerné
19;19;Lycée Jean Lurcat;Professionnelle;Oui
6;6;Lycée Léonard de Vinci;Professionnelle;Non
2;6;Lycée Léonard de Vinci;Professionnelle;Non concerné
23;24;Lycée Léonard de Vinci;Professionnelle;Oui
53;58;Lycée Louis Armand;Professionnelle;Non
5;22;Lycée Louis Armand;Professionnelle;Non concerné
32;32;Lycée Louis Armand;Professionnelle;Oui
40;47;Lycée Martin-Nadaud;Professionnelle;Non
3;17;Lycée Martin-Nadaud;Professionnelle;Non concerné
44;45;Lycée Martin-Nadaud;Professionnelle;Oui
11;13;Lycée Maximilien Vox;Professionnelle;Non
0;4;Lycée Maximilien Vox;Professionnelle;Non concerné
20;22;Lycée Maximilien Vox;Professionnelle;Oui
2;2;Lycée Paul Poiret;Professionnelle;Non
3;7;Lycée Paul Poiret;Professionnelle;Non concerné
9;9;Lycée Paul Poiret;Professionnelle;Oui
46;52;Lycée professionnel Beaugrenelle;Professionnelle;Non
2;13;Lycée professionnel Beaugrenelle;Professionnelle;Non concerné
44;45;Lycée professionnel Beaugrenelle;Professionnelle;Oui
12;14;Lycée professionnel Camille Jenatzy;Professionnelle;Non
0;31;Lycée professionnel Camille Jenatzy;Professionnelle;Non concerné
21;21;Lycée professionnel Camille Jenatzy;Professionnelle;Oui
30;35;Lycée professionnel Chenneviere Malezieux;Professionnelle;Non
4;35;Lycée professionnel Chenneviere Malezieux;Professionnelle;Non concerné
14;17;Lycée professionnel Chenneviere Malezieux;Professionnelle;Oui
27;29;Lycée professionnel Claude Anthime Corbon;Professionnelle;Non
0;6;Lycée professionnel Claude Anthime Corbon;Professionnelle;Non concerné
16;16;Lycée professionnel Claude Anthime Corbon;Professionnelle;Oui
16;16;Lycée professionnel Corvisart-Arts Graphiques;Professionnelle;Non
28;41;Lycée professionnel Corvisart-Arts Graphiques;Professionnelle;Non concerné
25;26;Lycée professionnel Corvisart-Arts Graphiques;Professionnelle;Oui
1;3;Lycée professionnel Edmond Rostand;Professionnelle;Non
1;5;Lycée professionnel Edmond Rostand;Professionnelle;Non concerné
48;48;Lycée professionnel Erik Satie;Professionnelle;Non
0;3;Lycée professionnel Erik Satie;Professionnelle;Non concerné
23;23;Lycée professionnel Erik Satie;Professionnelle;Oui
27;29;Lycée professionnel Etienne Dolet;Professionnelle;Non
20;24;Lycée professionnel Etienne Dolet;Professionnelle;Non concerné
19;19;Lycée professionnel Etienne Dolet;Professionnelle;Oui
50;55;Lycée professionnel Galilee;Professionnelle;Non
5;11;Lycée professionnel Galilee;Professionnelle;Non concerné
22;23;Lycée professionnel Galilee;Professionnelle;Oui
28;28;Lycée professionnel Gaston Bachelard;Professionnelle;Non
0;3;Lycée professionnel Gaston Bachelard;Professionnelle;Non concerné
6;6;Lycée professionnel Gaston Bachelard;Professionnelle;Oui
41;42;Lycée professionnel Gustave Eiffel;Professionnelle;Non
1;14;Lycée professionnel Gustave Eiffel;Professionnelle;Non concerné
32;32;Lycée professionnel Gustave Eiffel;Professionnelle;Oui
62;63;Lycée professionnel Gustave Ferrie;Professionnelle;Non
1;4;Lycée professionnel Gustave Ferrie;Professionnelle;Non concerné
43;43;Lycée professionnel Gustave Ferrie;Professionnelle;Oui
26;26;Lycée professionnel Hector Guimard;Professionnelle;Non
3;13;Lycée professionnel Hector Guimard;Professionnelle;Non concerné
19;19;Lycée professionnel Hector Guimard;Professionnelle;Oui
19;21;Lycée professionnel Hôtelier Belliard;Professionnelle;Non
0;13;Lycée professionnel Hôtelier Belliard;Professionnelle;Non concerné
46;53;Lycée professionnel Marcel Deprez;Professionnelle;Non
2;20;Lycée professionnel Marcel Deprez;Professionnelle;Non concerné
36;38;Lycée professionnel Marcel Deprez;Professionnelle;Oui
25;29;Lycée professionnel Maria Deraismes;Professionnelle;Non
7;42;Lycée professionnel Maria Deraismes;Professionnelle;Non concerné
78;84;Lycée professionnel Maria Deraismes;Professionnelle;Oui
26;29;Lycée professionnel Marie Laurencin;Professionnelle;Non
1;19;Lycée professionnel Marie Laurencin;Professionnelle;Non concerné
19;19;Lycée professionnel Marie Laurencin;Professionnelle;Oui
4;5;Lycée professionnel Metiers De L'Ameublement;Professionnelle;Non
2;3;Lycée professionnel Metiers De L'Ameublement;Professionnelle;Non concerné
2;2;Lycée professionnel Metiers De L'Ameublement;Professionnelle;Oui
41;42;Lycée professionnel Nicolas Louis Vauquelin;Professionnelle;Non
3;14;Lycée professionnel Nicolas Louis Vauquelin;Professionnelle;Non concerné
12;12;Lycée professionnel Nicolas Louis Vauquelin;Professionnelle;Oui
1;1;Lycée professionnel Octave Feuillet;Professionnelle;Non
0;2;Lycée professionnel Octave Feuillet;Professionnelle;Non concerné
12;12;Lycée professionnel Octave Feuillet;Professionnelle;Oui
52;56;Lycée professionnel Pierre Lescot;Professionnelle;Non
1;36;Lycée professionnel Pierre Lescot;Professionnelle;Non concerné
23;24;Lycée professionnel Pierre Lescot;Professionnelle;Oui
31;34;Lycée professionnel Régional Abbe Gregoire;Professionnelle;Non
2;13;Lycée professionnel Régional Abbe Gregoire;Professionnelle;Non concerné
17;17;Lycée professionnel Régional Abbe Gregoire;Professionnelle;Oui
58;66;Lycée professionnel Rene Cassin;Professionnelle;Non
3;23;Lycée professionnel Rene Cassin;Professionnelle;Non concerné
12;12;Lycée professionnel Rene Cassin;Professionnelle;Oui
18;19;Lycée professionnel Theophile Gautier;Professionnelle;Non
2;20;Lycée professionnel Theophile Gautier;Professionnelle;Non concerné
9;9;Lycée professionnel Theophile Gautier;Professionnelle;Oui
45;49;Lycée professionnel Turquetil;Professionnelle;Non
0;23;Lycée professionnel Turquetil;Professionnelle;Non concerné
27;29;Lycée professionnel Turquetil;Professionnelle;Oui
26;26;Lycée Raspail;Professionnelle;Non
0;14;Lycée Raspail;Professionnelle;Non concerné
8;8;Lycée Raspail;Professionnelle;Oui
23;27;Lycée Simone Weil;Professionnelle;Non
2;17;Lycée Simone Weil;Professionnelle;Non concerné
29;30;Lycée Simone Weil;Professionnelle;Oui
0;1;Université Paris 1 Panthéon Sorbonne;Professionnelle;Non concerné
