Nb de candidats ayant fait au moins un vœu confirmé PP;Nb d'individus;Etablissement;Type de la classe;Au moins 1 avis favorable en STS (Oui/Non)
2;18;CFA Bélliard ALIMENTATION-HOTELLERIE;Professionnelle;Non concerné
5;7;EREA CROCE SPINELLI;Professionnelle;Non
0;5;EREA CROCE SPINELLI;Professionnelle;Non concerné
6;7;EREA CROCE SPINELLI;Professionnelle;Oui
3;4;Etablissement régional d'enseignement adapté Alexandre Dumas;Professionnelle;Non
0;9;Etablissement régional d'enseignement adapté Alexandre Dumas;Professionnelle;Non concerné
0;1;Etablissement régional d'enseignement adapté Alexandre Dumas;Professionnelle;Oui
1;4;GRETA INDUSTRIEL TECHOLOGIES AVANCEES;Professionnelle;Non concerné
0;1;GRETA METEHOR;Professionnelle;Non concerné
3;5;Lycée Batiment-Saint-Lambert;Professionnelle;Non
0;4;Lycée Batiment-Saint-Lambert;Professionnelle;Non concerné
1;1;Lycée Batiment-Saint-Lambert;Professionnelle;Oui
31;31;Lycée D'Alembert-Cuir;Professionnelle;Non
20;37;Lycée D'Alembert-Cuir;Professionnelle;Non concerné
29;29;Lycée D'Alembert-Cuir;Professionnelle;Oui
12;14;Lycée des Métiers de l'Hôtellerie Guillaume TIREL;Professionnelle;Non
5;13;Lycée des Métiers de l'Hôtellerie Guillaume TIREL;Professionnelle;Non concerné
18;18;Lycée des Métiers de l'Hôtellerie Guillaume TIREL;Professionnelle;Oui
35;38;Lycée des Métiers Dorian;Professionnelle;Non
6;31;Lycée des Métiers Dorian;Professionnelle;Non concerné
35;38;Lycée des Métiers Dorian;Professionnelle;Oui
1;1;Lycée Des métiers Jean DROUANT;Professionnelle;Non
2;22;Lycée Des métiers Jean DROUANT;Professionnelle;Non concerné
19;19;Lycée Des métiers Jean DROUANT;Professionnelle;Oui
11;12;Lycée Diderot;Professionnelle;Non
2;11;Lycée Diderot;Professionnelle;Non concerné
11;12;Lycée Diderot;Professionnelle;Oui
24;27;Lycée Edgar Quinet;Professionnelle;Non
1;13;Lycée Edgar Quinet;Professionnelle;Non concerné
29;29;Lycée Edgar Quinet;Professionnelle;Oui
43;48;Lycée Elisa Lemonnier;Professionnelle;Non
0;23;Lycée Elisa Lemonnier;Professionnelle;Non concerné
49;49;Lycée Elisa Lemonnier;Professionnelle;Oui
20;20;Lycée Fresnel;Professionnelle;Non
1;1;Lycée Fresnel;Professionnelle;Non concerné
