Nb de candidats ayant fait au moins un vœu confirmé PP;Nb de cddt ayant au moins une proposition Parcoursup;Etablissement;Type de formation de la scolarité;Profil synthétique candidat;Sexe;Académie de rattachement
4;5;3IS Institut International de l'Image et du Son;Formations d'art, de design et du spectacle vivant;Etudiants (réorientation, mise à niveau);F;Versailles
7;6;3IS Institut International de l'Image et du Son;Formations d'art, de design et du spectacle vivant;Etudiants (réorientation, mise à niveau);M;Versailles
2;2;3IS Institut International de l'Image et du Son;Formations d'art, de design et du spectacle vivant;Non scolarisés;F;Versailles
2;2;3IS Institut International de l'Image et du Son;Formations d'art, de design et du spectacle vivant;Non scolarisés;M;Versailles
0;;3IS Institut International de l'Image et du Son;Terminale;Lycéens de Terminale;M;Versailles
8;7;ABCDaire du Savoir;Terminale;Lycéens de Terminale;F;Créteil
1;1;ABCDaire du Savoir;Terminale;Lycéens de Terminale;M;Créteil
0;;ACMP-IGEFI;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);F;Versailles
0;;ACMP-IGEFI;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);M;Versailles
2;2;ACMP-IGEFI;DCG;Etudiants (réorientation, mise à niveau);F;Versailles
3;2;ACMP-IGEFI;DCG;Etudiants (réorientation, mise à niveau);M;Versailles
0;1;ADEFSA CFA Descartes;Autre formation du supérieur;Etudiants (réorientation, mise à niveau);M;Créteil
0;;ADEFSA CFA Descartes;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);F;Créteil
4;2;ADEFSA CFA Descartes;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);M;Créteil
1;1;ADEFSA CFA Descartes;BTS - BTSA - BTSM;Non scolarisés;F;Créteil
0;;ADEFSA CFA Descartes;DCG;Etudiants (réorientation, mise à niveau);M;Créteil
1;1;ADEFSA CFA Descartes;Formations professionnelles;Etudiants (réorientation, mise à niveau);F;Créteil
1;1;ADEFSA CFA Descartes;Formations professionnelles;Etudiants (réorientation, mise à niveau);M;Créteil
0;;ADEFSA CFA Descartes;Licence professionnelle;Etudiants (réorientation, mise à niveau);F;Créteil
0;;ADEFSA CFA Descartes;Licence professionnelle;Etudiants (réorientation, mise à niveau);M;Créteil
0;;ADEFSA CFA Descartes;Terminale;Lycéens de Terminale;F;Créteil
3;3;AEPO CFA de l'optique;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);F;Paris
3;1;AEPO CFA de l'optique;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);M;Paris
0;;AEPO CFA de l'optique;BTS - BTSA - BTSM;Non scolarisés;F;Paris
0;;AEPO CFA de l'optique;Licence professionnelle;Etudiants (réorientation, mise à niveau);F;Paris
1;;AEPO CFA de l'optique;Licence professionnelle;Etudiants (réorientation, mise à niveau);M;Paris
1;1;AEPO CFA de l'optique;Prépa formation paramédicale (prépa orthophoniste, ...);Non scolarisés;F;Paris
0;6;AEPO CFA de l'optique;Terminale;Lycéens de Terminale;F;Paris
0;8;AEPO CFA de l'optique;Terminale;Lycéens de Terminale;M;Paris
0;;AFANEM;BTS - BTSA - BTSM;Non scolarisés;M;Créteil
0;;AFANEM;Terminale;Lycéens de Terminale;M;Créteil
1;1;AFORP Mantes-La-Ville;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);M;Versailles
0;;AFORP Mantes-La-Ville;Terminale;Lycéens de Terminale;F;Versailles
1;1;AFORP Mantes-La-Ville;Terminale;Lycéens de Terminale;M;Versailles
2;1;AFREP - Institut de formation en pédicure-podologie;Etudes de santé;Etudiants (réorientation, mise à niveau);F;Paris
0;;AFREP - Institut de formation en pédicure-podologie;Etudes de santé;Etudiants (réorientation, mise à niveau);M;Paris
1;1;AFREP - Institut de formation en pédicure-podologie;Etudes de santé;Non scolarisés;F;Paris
0;;AFTRAL CFA ISTELI;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);M;Paris
0;;AFTRAL CFA ISTELI;Seconde;Non scolarisés;F;Paris
0;;AFTRAL CFA TL Aulnay-Sous-Bois;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);M;Créteil
1;;AFTRAL CFA TL Noisiel ;Terminale;Lycéens de Terminale;M;Créteil
1;1;AFTRAL CFA TL RUNGIS;Autre formation du supérieur;Etudiants (réorientation, mise à niveau);F;Créteil
0;;AFTRAL CFA TL RUNGIS;Autre formation du supérieur;Non scolarisés;M;Créteil
1;;AFTRAL CFA TL RUNGIS;Formations professionnelles;Etudiants (réorientation, mise à niveau);M;Créteil
0;2;AFTRAL CFA TL RUNGIS;Terminale;Lycéens de Terminale;M;Créteil
0;;AFTRAL CFA TL Savigny-Le-Temple;Formations professionnelles;Etudiants (réorientation, mise à niveau);M;Créteil
0;;AFTRAL CFA TL Savigny-Le-Temple;Terminale;Lycéens de Terminale;F;Créteil
0;;AFTRAL CFA TL Savigny-Le-Temple;Terminale;Lycéens de Terminale;M;Créteil
1;2;AGROPARISTECH (INSTITUT DES SCIENCES ET INDUSTRIES DU VIVANT ET DE L'ENVIRONNEMENT);Formations des écoles d'ingénieurs;Etudiants (réorientation, mise à niveau);F;Paris
1;1;AGROPARISTECH (INSTITUT DES SCIENCES ET INDUSTRIES DU VIVANT ET DE L'ENVIRONNEMENT);Formations des écoles d'ingénieurs;Etudiants (réorientation, mise à niveau);M;Paris
0;1;AGROPARISTECH (INSTITUT DES SCIENCES ET INDUSTRIES DU VIVANT ET DE L'ENVIRONNEMENT);Master;Etudiants (réorientation, mise à niveau);M;Paris
0;;AGROPARISTECH (INSTITUT DES SCIENCES ET INDUSTRIES DU VIVANT ET DE L'ENVIRONNEMENT);Prépa autres écoles (Arts, Audiovisuel, Hôtellerie, ...);Etudiants (réorientation, mise à niveau);F;Paris
0;;Aivancity School for Technology Business and Society;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);F;Créteil
3;3;Aivancity School for Technology Business and Society;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);M;Créteil
0;;Aivancity School for Technology Business and Society;Formations professionnelles;Etudiants (réorientation, mise à niveau);M;Créteil
0;;Aivancity School for Technology Business and Society;Prépa formation en soins infirmiers;Etudiants (réorientation, mise à niveau);F;Créteil
3;2;Akalis - collège de Paris - Ecole santé et juridique;Autre formation du supérieur;Etudiants (réorientation, mise à niveau);F;Versailles
0;1;Akalis - collège de Paris - Ecole santé et juridique;Autre formation du supérieur;Etudiants (réorientation, mise à niveau);M;Versailles
17;15;Akalis - collège de Paris - Ecole santé et juridique;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);F;Versailles
15;10;Akalis - collège de Paris - Ecole santé et juridique;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);M;Versailles
2;2;Akalis - collège de Paris - Ecole santé et juridique;BTS - BTSA - BTSM;Non scolarisés;F;Versailles
0;;Akalis - collège de Paris - Ecole santé et juridique;BTS - BTSA - BTSM;Non scolarisés;M;Versailles
1;;Akalis - collège de Paris - Ecole santé et juridique;Formations préparatoires à l'enseignement supérieur;Etudiants (réorientation, mise à niveau);F;Versailles
4;5;Akalis - collège de Paris - Ecole santé et juridique;Formations professionnelles;Etudiants (réorientation, mise à niveau);F;Versailles
2;3;Akalis - collège de Paris - Ecole santé et juridique;Formations professionnelles;Etudiants (réorientation, mise à niveau);M;Versailles
