Nb de candidats ayant fait au moins un vœu confirmé PP;Nb de cddt ayant au moins une proposition Parcoursup;Etablissement;Type de formation de la scolarité;Profil synthétique candidat;Sexe;Académie de rattachement
0;;Akalis - collège de Paris - Ecole santé et juridique;Prépa formation du secteur social (prépa Educ. spécialisé, ...);Etudiants (réorientation, mise à niveau);F;Versailles
5;3;Akalis - collège de Paris - Ecole santé et juridique;Terminale;Lycéens de Terminale;F;Versailles
0;;Akalis - collège de Paris - Ecole santé et juridique;Terminale;Lycéens de Terminale;M;Versailles
1;1;Annexe du lycée Jacques Amyot (Melun);Terminale;Lycéens de Terminale;F;Créteil
1;1;Annexe du lycée Jacques Amyot (Melun);Terminale;Lycéens de Terminale;M;Créteil
1;1;Annexe du Lycée Lakanal;CPGE;Etudiants (réorientation, mise à niveau);F;Versailles
1;1;Annexe du Lycée Lakanal;CPGE;Etudiants (réorientation, mise à niveau);M;Versailles
18;18;Annexe du Lycée Lakanal;Terminale;Lycéens de Terminale;F;Versailles
11;10;Annexe du Lycée Lakanal;Terminale;Lycéens de Terminale;M;Versailles
1;;ANTENNE DE CFA ACPPAV;Autre formation du secondaire;Autres;F;Versailles
0;1;ANTENNE DE CFA ACPPAV;Autre formation du supérieur;Etudiants (réorientation, mise à niveau);M;Versailles
0;;ANTENNE DE CFA ACPPAV;Formations professionnelles;Etudiants (réorientation, mise à niveau);F;Versailles
0;;ANTENNE DE CFA ACPPAV;Formations professionnelles;Etudiants (réorientation, mise à niveau);M;Versailles
0;4;ANTENNE DE CFA ACPPAV;Prépa formation paramédicale (prépa orthophoniste, ...);Etudiants (réorientation, mise à niveau);F;Versailles
0;1;ANTENNE DE CFA ACPPAV;Prépa formation paramédicale (prépa orthophoniste, ...);Etudiants (réorientation, mise à niveau);M;Versailles
0;1;ANTENNE DE CFA ACPPAV;Prépa formation paramédicale (prépa orthophoniste, ...);Non scolarisés;F;Versailles
0;;ANTENNE DE CFA ACPPAV;Terminale;Etudiants (réorientation, mise à niveau);F;Versailles
0;;ANTENNE DE CFA AFORPA GUYANCOURT;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);F;Versailles
0;;ANTENNE DE CFA AFORPA GUYANCOURT;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);M;Versailles
0;;ANTENNE DE CFA AFORPA GUYANCOURT;Classe de remise à niveau (Scientifique, pour entrer en BTS, ...);Etudiants (réorientation, mise à niveau);M;Versailles
0;;ANTENNE DE CFA AFORPA GUYANCOURT;Terminale;Lycéens de Terminale;F;Versailles
0;1;ANTENNE DE CFA AFORPA GUYANCOURT;Terminale;Lycéens de Terminale;M;Versailles
0;;ANTENNE DE CFA AFORPA GUYANCOURT;Terminale;Non scolarisés;M;Versailles
0;;ANTENNE DE CFA ANT DU CFA A.F.F.I.D.A. 78;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);F;Versailles
0;;ANTENNE DE CFA ANT DU CFA A.F.F.I.D.A. 78;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);M;Versailles
0;1;ANTENNE DE CFA ANT DU CFA A.F.F.I.D.A. 78;Terminale;Lycéens de Terminale;F;Versailles
0;1;ANTENNE DE CFA ANT DU CFA A.F.F.I.D.A. 78;Terminale;Lycéens de Terminale;M;Versailles
1;1;ANTENNE DE CFA ANTENNE CFA LES COMPAGNONS DU;Autre formation du secondaire;Autres;F;Créteil
0;;ANTENNE DE CFA ANTENNE CFA LES COMPAGNONS DU;Autre formation du secondaire;Autres;M;Créteil
0;;ANTENNE DE CFA ANTENNE CFA LES COMPAGNONS DU;Autre formation du supérieur;Etudiants (réorientation, mise à niveau);F;Créteil
1;1;ANTENNE DE CFA ANTENNE CFA LES COMPAGNONS DU;Formations professionnelles;Etudiants (réorientation, mise à niveau);F;Créteil
0;;ANTENNE DE CFA ANTENNE CFA LES COMPAGNONS DU;Formations professionnelles;Non scolarisés;F;Créteil
0;;ANTENNE DE CFA ANTENNE CFA LES COMPAGNONS DU;Première;Autres;F;Créteil
0;1;ANTENNE DE CFA ANTENNE CFA LES COMPAGNONS DU;Seconde;Non scolarisés;M;Créteil
1;2;ANTENNE DE CFA ANTENNE CFA LES COMPAGNONS DU;Terminale;Lycéens de Terminale;F;Créteil
1;1;Antenne de CFA Aston Ecole IT - site d'Arcueil;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);M;Créteil
0;;Antenne de CFA Aston Ecole IT - site d'Arcueil;Prépa formation paramédicale (prépa orthophoniste, ...);Etudiants (réorientation, mise à niveau);F;Créteil
0;;ANTENNE DE CFA CAMAS ORLY;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);F;Créteil
0;;ANTENNE DE CFA CAMAS ORLY;BTS - BTSA - BTSM;Non scolarisés;F;Créteil
0;;ANTENNE DE CFA DU CFAI 77 DE VAUX-LE-PENIL;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);M;Créteil
0;;ANTENNE DE CFA DU CFAI 77 DE VAUX-LE-PENIL;Licence professionnelle;Etudiants (réorientation, mise à niveau);M;Créteil
0;;ANTENNE DE CFA DU CFAI 77 DE VAUX-LE-PENIL;Terminale;Lycéens de Terminale;M;Créteil
0;;Antenne du Centre de formation d'apprentis Fraternité Saint-Jean;Première;Autres;M;Versailles
1;1;Antenne du Centre de formation d'apprentis Fraternité Saint-Jean;Terminale;Lycéens de Terminale;M;Versailles
0;;Antenne du Centre de formation d'apprentis Métiers de l'Aérien;Mentions complémentaires;Etudiants (réorientation, mise à niveau);F;Versailles
0;;Antenne du Centre de formation d'apprentis Métiers de l'Aérien;Première;Autres;M;Versailles
0;;Antenne du Centre de formation d'apprentis Métiers de l'Aérien;Terminale;Lycéens de Terminale;F;Versailles
0;;Antenne du Centre de formation d'apprentis Métiers de l'Aérien;Terminale;Lycéens de Terminale;M;Versailles
0;;ANTENNE DU CFA IGS;Autre formation du supérieur;Etudiants (réorientation, mise à niveau);F;Paris
0;;ANTENNE DU CFA IGS;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);F;Paris
1;1;ANTENNE DU CFA IGS;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);M;Paris
1;;ANTENNE DU CFA IGS;Formations professionnelles;Etudiants (réorientation, mise à niveau);F;Paris
0;;ANTENNE DU CFA IGS;Formations professionnelles;Etudiants (réorientation, mise à niveau);M;Paris
0;;ANTENNE DU CFA IGS;Terminale;Lycéens de Terminale;F;Paris
0;1;ANTENNE DU CFA IGS;Terminale;Non scolarisés;F;Paris
2;2;Antenne - Institut Universitaire de Technologie Juvisy sur Orge - Université d'Evry Val d'Essonne;BUT;Etudiants (réorientation, mise à niveau);F;Versailles
1;;Antenne - Institut Universitaire de Technologie Juvisy sur Orge - Université d'Evry Val d'Essonne;BUT;Etudiants (réorientation, mise à niveau);M;Versailles
1;1;Antenne - Institut Universitaire de Technologie Juvisy sur Orge - Université d'Evry Val d'Essonne;BUT;Non scolarisés;F;Versailles
1;1;Antenne - Institut Universitaire de Technologie Juvisy sur Orge - Université d'Evry Val d'Essonne;BUT;Non scolarisés;M;Versailles
0;;Antenne - Institut Universitaire de Technologie Juvisy sur Orge - Université d'Evry Val d'Essonne;Licence professionnelle;Etudiants (réorientation, mise à niveau);F;Versailles
0;;Antenne - Institut Universitaire de Technologie Juvisy sur Orge - Université d'Evry Val d'Essonne;Licence professionnelle;Etudiants (réorientation, mise à niveau);M;Versailles
0;;ASCENCIA - Evry;Formations des écoles de commerce et de management;Etudiants (réorientation, mise à niveau);F;Versailles
1;;ASCENCIA - Evry;Formations des écoles de commerce et de management;Etudiants (réorientation, mise à niveau);M;Versailles
1;1;ASCENCIA Marne-la-Vallée;Autre formation du supérieur;Etudiants (réorientation, mise à niveau);F;Créteil
0;;ASCENCIA Marne-la-Vallée;Autre formation du supérieur;Etudiants (réorientation, mise à niveau);M;Créteil
0;;ASCENCIA Marne-la-Vallée;Licence professionnelle;Etudiants (réorientation, mise à niveau);M;Créteil
4;1;Ascencia - Paris-la-Défense;Formations des écoles de commerce et de management;Etudiants (réorientation, mise à niveau);F;Versailles
0;;Ascencia - Paris-la-Défense;Formations des écoles de commerce et de management;Etudiants (réorientation, mise à niveau);M;Versailles
0;;Ascencia - Paris-la-Défense;Formations des écoles de commerce et de management;Non scolarisés;F;Versailles
0;;Ascencia - Paris-la-Défense;Formations des écoles de commerce et de management;Non scolarisés;M;Versailles
1;1;ASCENCIA - Saint-Quentin-en-Yvelines;Formations des écoles de commerce et de management;Etudiants (réorientation, mise à niveau);F;Versailles
1;;ASCENCIA - Saint-Quentin-en-Yvelines;Formations des écoles de commerce et de management;Non scolarisés;M;Versailles
1;1;Assas Formations Santé;Etudes de santé;Etudiants (réorientation, mise à niveau);F;Versailles
1;1;ASSO FORMAT BIOCHIM BIOL ECOLE;Autre formation du supérieur;Etudiants (réorientation, mise à niveau);F;Paris
0;;ASSO FORMAT BIOCHIM BIOL ECOLE;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);F;Paris
0;;ASSO FORMAT BIOCHIM BIOL ECOLE;Prépa PASS (Médecine, Pharmacie, Sage femme, Dentiste, Kiné);Etudiants (réorientation, mise à niveau);M;Paris
0;;AUDENCIA - SAINT-OUEN;Formations des écoles de commerce et de management;Etudiants (réorientation, mise à niveau);M;Créteil
0;;Aureïs formation;Autre formation du supérieur;Etudiants (réorientation, mise à niveau);F;Paris
0;1;Aureïs formation;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);F;Paris
0;;Aureïs formation;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);M;Paris
3;3;Beth Sefer Yad Mordekhai;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);F;Paris
6;6;Beth Sefer Yad Mordekhai;Terminale;Lycéens de Terminale;F;Paris
0;;BTP CFA;Autre formation du secondaire;Autres;M;Versailles
0;;BTP CFA;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);M;Versailles
0;;BTP CFA;Première;Autres;M;Versailles
0;;BTP CFA;Terminale;Non scolarisés;M;Versailles
3;2;BUC RESSOURCES;Formations diplômantes du travail social;Etudiants (réorientation, mise à niveau);F;Versailles
0;;BUC RESSOURCES;Formations diplômantes du travail social;Etudiants (réorientation, mise à niveau);M;Versailles
1;1;BUC RESSOURCES;Formations diplômantes du travail social;Non scolarisés;F;Versailles
2;;Campus des métiers de l'entreprise;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);F;Créteil
0;;Campus des métiers de l'entreprise;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);M;Créteil
0;;Campus des métiers de l'entreprise;BTS - BTSA - BTSM;Non scolarisés;F;Créteil
0;;Campus des métiers de l'entreprise;Première;Autres;F;Créteil
0;;Campus des métiers de l'entreprise;Première;Autres;M;Créteil
1;1;Campus des métiers de l'entreprise;Terminale;Lycéens de Terminale;F;Créteil
4;5;Campus des métiers de l'entreprise;Terminale;Lycéens de Terminale;M;Créteil
0;1;CEMEA ILE-DE-FRANCE-CFPES;Formations diplômantes du travail social;Etudiants (réorientation, mise à niveau);F;Créteil
1;2;CEMEA ILE-DE-FRANCE-CFPES;Formations diplômantes du travail social;Etudiants (réorientation, mise à niveau);M;Créteil
0;2;CentraleSupélec;Formations des écoles d'ingénieurs;Etudiants (réorientation, mise à niveau);F;Versailles
0;4;CentraleSupélec;Formations des écoles d'ingénieurs;Etudiants (réorientation, mise à niveau);M;Versailles
1;1;CENTRE DE FORMATION CONTINUE  CAMILLE SELINE;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);F;Versailles
3;3;CENTRE DE FORMATION CONTINUE  CAMILLE SELINE;Terminale;Lycéens de Terminale;F;Versailles
0;;Centre de Formation continue - Private french university;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);F;Paris
0;;Centre de Formation continue - Private french university;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);M;Paris
0;;Centre de Formation continue - Private french university;Formations professionnelles;Etudiants (réorientation, mise à niveau);F;Paris
0;;CENTRE DE FORMATION D'APPRENTIS AFORP - FORMATION;Autre formation du supérieur;Etudiants (réorientation, mise à niveau);M;Créteil
0;;CENTRE DE FORMATION D'APPRENTIS AFORP - FORMATION;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);F;Créteil
4;2;CENTRE DE FORMATION D'APPRENTIS AFORP - FORMATION;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);M;Créteil
3;3;CENTRE DE FORMATION D'APPRENTIS AFORP - FORMATION;BTS - BTSA - BTSM;Non scolarisés;M;Créteil
1;;CENTRE DE FORMATION D'APPRENTIS AFORP - FORMATION;Formations professionnelles;Etudiants (réorientation, mise à niveau);F;Créteil
0;;CENTRE DE FORMATION D'APPRENTIS AFORP - FORMATION;Licence professionnelle;Etudiants (réorientation, mise à niveau);M;Créteil
0;;CENTRE DE FORMATION D'APPRENTIS AFORP - FORMATION;Terminale;Lycéens de Terminale;F;Créteil
0;;CENTRE DE FORMATION D'APPRENTIS AFORP - FORMATION;Terminale;Lycéens de Terminale;M;Créteil
2;3;Centre de Formation d'apprentis - CCI Paris centre des formations industrielles;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);M;Paris
0;;Centre de Formation d'apprentis - CCI Paris centre des formations industrielles;BTS - BTSA - BTSM;Non scolarisés;F;Paris
1;1;Centre de Formation d'apprentis - CCI Paris centre des formations industrielles;Licence professionnelle;Etudiants (réorientation, mise à niveau);M;Paris
0;;Centre de Formation d'apprentis - CCI Paris centre des formations industrielles;Terminale;Lycéens de Terminale;F;Paris
0;13;Centre de Formation d'apprentis - CCI Paris centre des formations industrielles;Terminale;Lycéens de Terminale;M;Paris
0;;Centre de formation d'apprentis Lohanda;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);F;Versailles
1;1;Centre de formation d'apprentis Lohanda;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);M;Versailles
1;1;Centre de formation d'apprentis Lohanda;BTS - BTSA - BTSM;Non scolarisés;F;Versailles
0;1;Centre de formation d'apprentis Lohanda;DCG;Etudiants (réorientation, mise à niveau);M;Versailles
0;;CENTRE DE FORMATION ISCG;Autre formation du supérieur;Non scolarisés;M;Paris
1;;CENTRE DE FORMATION ISCG;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);F;Paris
0;;CENTRE DE FORMATION ISCG;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);M;Paris
1;1;CENTRE DE FORMATION ISCG;BTS - BTSA - BTSM;Non scolarisés;F;Paris
0;;CENTRE DE FORMATION ISCG;BTS - BTSA - BTSM;Non scolarisés;M;Paris
0;;CENTRE DE FORMATION ISCG;Licence professionnelle;Etudiants (réorientation, mise à niveau);F;Paris
0;;CENTRE DE FORMATION ISCG;Licence professionnelle;Etudiants (réorientation, mise à niveau);M;Paris
0;;CENTRE DE FORMATION ISCG;Terminale;Lycéens de Terminale;M;Paris
1;2;CENTRE DE FORMATION L'HORIZON;Formations diplômantes du travail social;Etudiants (réorientation, mise à niveau);F;Versailles
0;;CENTRE DE FORMATION L'HORIZON;Formations diplômantes du travail social;Non scolarisés;F;Versailles
0;;CENTRE DE FORMATION L'HORIZON;Formations diplômantes du travail social;Non scolarisés;M;Versailles
1;1;Centre d'enseignement à distance Cours Minerve;Prépa formation en soins infirmiers;Etudiants (réorientation, mise à niveau);F;Versailles
2;1;Centre d'enseignement à distance Cours Minerve;Terminale;Lycéens de Terminale;F;Versailles
2;1;Centre d'Enseignement à Distance - Educ'etic à distance;Terminale;Lycéens de Terminale;F;Versailles
0;;Centre d'Enseignement de Soins Esthétiques Silvya Terrade Paris Opéra - Catherine Sertin;Autre formation du secondaire;Non scolarisés;F;Paris
0;;Centre d'Enseignement de Soins Esthétiques Silvya Terrade Paris Opéra - Catherine Sertin;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);F;Paris
0;;Centre d'Enseignement de Soins Esthétiques Silvya Terrade Paris Opéra - Catherine Sertin;Première;Autres;F;Paris
0;;Centre d'Enseignement de Soins Esthétiques Silvya Terrade Paris Opéra - Catherine Sertin;Terminale;Lycéens de Terminale;F;Paris
0;;Centre de préparation au diplôme d'état d'audioprothèsiste Conservatoire National des Arts et Métiers;Autre formation du supérieur;Etudiants (réorientation, mise à niveau);M;Paris
0;;Centre de préparation au diplôme d'état d'audioprothèsiste Conservatoire National des Arts et Métiers;Autre formation du supérieur;Non scolarisés;M;Paris
1;1;Centre de préparation au diplôme d'état d'audioprothèsiste Conservatoire National des Arts et Métiers;DCG;Etudiants (réorientation, mise à niveau);F;Paris
0;;Centre de préparation au diplôme d'état d'audioprothèsiste Conservatoire National des Arts et Métiers;DCG;Etudiants (réorientation, mise à niveau);M;Paris
0;;Centre de préparation au diplôme d'état d'audioprothèsiste Conservatoire National des Arts et Métiers;DEUST;Etudiants (réorientation, mise à niveau);F;Paris
0;;Centre de préparation au diplôme d'état d'audioprothèsiste Conservatoire National des Arts et Métiers;DEUST;Etudiants (réorientation, mise à niveau);M;Paris
2;2;Centre de préparation au diplôme d'état d'audioprothèsiste Conservatoire National des Arts et Métiers;Diplômes d'université ou d'établissement;Etudiants (réorientation, mise à niveau);F;Paris
1;;Centre de préparation au diplôme d'état d'audioprothèsiste Conservatoire National des Arts et Métiers;Formations des écoles d'ingénieurs;Etudiants (réorientation, mise à niveau);M;Paris
0;1;Centre de préparation au diplôme d'état d'audioprothèsiste Conservatoire National des Arts et Métiers;Licence;Etudiants (réorientation, mise à niveau);F;Paris
4;3;Centre de préparation au diplôme d'état d'audioprothèsiste Conservatoire National des Arts et Métiers;Licence;Etudiants (réorientation, mise à niveau);M;Paris
0;;Centre de préparation au diplôme d'état d'audioprothèsiste Conservatoire National des Arts et Métiers;Master;Etudiants (réorientation, mise à niveau);F;Paris
0;;Centre de préparation au diplôme d'état d'audioprothèsiste Conservatoire National des Arts et Métiers;Master;Etudiants (réorientation, mise à niveau);M;Paris
1;1;Centre de préparation au diplôme d'état d'audioprothèsiste Conservatoire National des Arts et Métiers;Prépa PASS (Médecine, Pharmacie, Sage femme, Dentiste, Kiné);Etudiants (réorientation, mise à niveau);F;Paris
2;2;Centre de Ressources, d'Expertise et de Performance Sportive d'Ile de France (CREPS);Formations aux métiers du sport;Etudiants (réorientation, mise à niveau);F;Versailles
1;1;Centre de Ressources, d'Expertise et de Performance Sportive d'Ile de France (CREPS);Formations aux métiers du sport;Etudiants (réorientation, mise à niveau);M;Versailles
1;;Centre de Ressources, d'Expertise et de Performance Sportive d'Ile de France (CREPS);Formations diplômantes du travail social;Etudiants (réorientation, mise à niveau);M;Versailles
1;1;Centre de Ressources, d'Expertise et de Performance Sportive d'Ile de France (CREPS);Formations professionnelles;Etudiants (réorientation, mise à niveau);F;Versailles
2;2;Centre de Ressources, d'Expertise et de Performance Sportive d'Ile de France (CREPS);Formations professionnelles;Etudiants (réorientation, mise à niveau);M;Versailles
3;2;Centre de Ressources, d'Expertise et de Performance Sportive d'Ile de France (CREPS);Terminale;Lycéens de Terminale;M;Versailles
0;;Centre du Jard Annexe léonard de vinci;Terminale;Lycéens de Terminale;F;Créteil
2;4;CENTRE FORMATION SAINT-HONORE;Formations diplômantes du travail social;Etudiants (réorientation, mise à niveau);F;Paris
1;1;CENTRE FORMATION SAINT-HONORE;Formations diplômantes du travail social;Etudiants (réorientation, mise à niveau);M;Paris
2;2;CENTRE MEDICAL PEDAGOGIQUE JACQUES ARNAUD;Terminale;Lycéens de Terminale;F;Versailles
3;3;CENTRE MEDICAL PEDAGOGIQUE JACQUES ARNAUD;Terminale;Lycéens de Terminale;M;Versailles
3;3;Centre Régional du Conservatoire National des Arts et Métiers d Ile-de-France;Autre formation du supérieur;Etudiants (réorientation, mise à niveau);F;Paris
0;;Centre Régional du Conservatoire National des Arts et Métiers d Ile-de-France;Autre formation du supérieur;Etudiants (réorientation, mise à niveau);M;Paris
1;1;Centre Régional du Conservatoire National des Arts et Métiers d Ile-de-France;Autre formation du supérieur;Non scolarisés;F;Paris
2;1;Centre Régional du Conservatoire National des Arts et Métiers d Ile-de-France;DCG;Etudiants (réorientation, mise à niveau);F;Paris
2;1;Centre Régional du Conservatoire National des Arts et Métiers d Ile-de-France;DCG;Etudiants (réorientation, mise à niveau);M;Paris
