Nb de candidats ayant fait au moins un vœu confirmé PP;Nb d'individus;Etablissement;Type de la classe;Au moins 1 avis favorable en STS (Oui/Non)
3;3;EREA CROCE SPINELLI;Professionnelle;Non
1;8;EREA CROCE SPINELLI;Professionnelle;Non concerné
7;7;EREA CROCE SPINELLI;Professionnelle;Oui
0;1;GRETA INDUSTRIEL TECHOLOGIES AVANCEES;Professionnelle;Non concerné
5;5;Lycée Batiment-Saint-Lambert;Professionnelle;Non
0;1;Lycée Batiment-Saint-Lambert;Professionnelle;Non concerné
1;1;Lycée Batiment-Saint-Lambert;Professionnelle;Oui
30;30;Lycée D'Alembert-Cuir;Professionnelle;Non
27;40;Lycée D'Alembert-Cuir;Professionnelle;Non concerné
27;27;Lycée D'Alembert-Cuir;Professionnelle;Oui
13;14;Lycée des Métiers de l'Hôtellerie Guillaume TIREL;Professionnelle;Non
0;13;Lycée des Métiers de l'Hôtellerie Guillaume TIREL;Professionnelle;Non concerné
18;18;Lycée des Métiers de l'Hôtellerie Guillaume TIREL;Professionnelle;Oui
35;37;Lycée des Métiers Dorian;Professionnelle;Non
5;37;Lycée des Métiers Dorian;Professionnelle;Non concerné
28;29;Lycée des Métiers Dorian;Professionnelle;Oui
6;7;Lycée Des métiers Jean DROUANT;Professionnelle;Non
0;21;Lycée Des métiers Jean DROUANT;Professionnelle;Non concerné
13;15;Lycée Des métiers Jean DROUANT;Professionnelle;Oui
18;20;Lycée Diderot;Professionnelle;Non
1;5;Lycée Diderot;Professionnelle;Non concerné
6;6;Lycée Diderot;Professionnelle;Oui
20;28;Lycée Edgar Quinet;Professionnelle;Non
2;19;Lycée Edgar Quinet;Professionnelle;Non concerné
22;23;Lycée Edgar Quinet;Professionnelle;Oui
35;41;Lycée Elisa Lemonnier;Professionnelle;Non
4;35;Lycée Elisa Lemonnier;Professionnelle;Non concerné
35;38;Lycée Elisa Lemonnier;Professionnelle;Oui
15;16;Lycée Fresnel;Professionnelle;Non
0;3;Lycée Fresnel;Professionnelle;Non concerné
5;5;Lycée Fresnel;Professionnelle;Oui
27;30;Lycée Jacques Monod;Professionnelle;Non
33;47;Lycée Jacques Monod;Professionnelle;Non concerné
24;24;Lycée Jacques Monod;Professionnelle;Oui
9;10;Lycée Jean Lurcat;Professionnelle;Non
2;17;Lycée Jean Lurcat;Professionnelle;Non concerné
39;39;Lycée Jean Lurcat;Professionnelle;Oui
8;11;Lycée Léonard de Vinci;Professionnelle;Non
2;7;Lycée Léonard de Vinci;Professionnelle;Non concerné
9;11;Lycée Léonard de Vinci;Professionnelle;Oui
54;57;Lycée Louis Armand;Professionnelle;Non
5;27;Lycée Louis Armand;Professionnelle;Non concerné
33;35;Lycée Louis Armand;Professionnelle;Oui
11;19;Lycée Martin-Nadaud;Professionnelle;Non
2;36;Lycée Martin-Nadaud;Professionnelle;Non concerné
34;38;Lycée Martin-Nadaud;Professionnelle;Oui
15;16;Lycée Maximilien Vox;Professionnelle;Non
3;13;Lycée Maximilien Vox;Professionnelle;Non concerné
15;15;Lycée Maximilien Vox;Professionnelle;Oui
10;11;Lycée Paul Poiret;Professionnelle;Non
2;3;Lycée Paul Poiret;Professionnelle;Non concerné
9;9;Lycée Paul Poiret;Professionnelle;Oui
54;57;Lycée professionnel Beaugrenelle;Professionnelle;Non
1;18;Lycée professionnel Beaugrenelle;Professionnelle;Non concerné
29;29;Lycée professionnel Beaugrenelle;Professionnelle;Oui
15;16;Lycée professionnel Camille Jenatzy;Professionnelle;Non
4;37;Lycée professionnel Camille Jenatzy;Professionnelle;Non concerné
25;25;Lycée professionnel Camille Jenatzy;Professionnelle;Oui
10;15;Lycée professionnel Chenneviere Malezieux;Professionnelle;Non
0;31;Lycée professionnel Chenneviere Malezieux;Professionnelle;Non concerné
29;31;Lycée professionnel Chenneviere Malezieux;Professionnelle;Oui
37;39;Lycée professionnel Claude Anthime Corbon;Professionnelle;Non
0;7;Lycée professionnel Claude Anthime Corbon;Professionnelle;Non concerné
10;11;Lycée professionnel Claude Anthime Corbon;Professionnelle;Oui
9;9;Lycée professionnel Corvisart-Arts Graphiques;Professionnelle;Non
26;34;Lycée professionnel Corvisart-Arts Graphiques;Professionnelle;Non concerné
24;24;Lycée professionnel Corvisart-Arts Graphiques;Professionnelle;Oui
2;8;Lycée professionnel Edmond Rostand;Professionnelle;Non concerné
1;1;Lycée professionnel Edmond Rostand;Professionnelle;Oui
29;32;Lycée professionnel Erik Satie;Professionnelle;Non
3;14;Lycée professionnel Erik Satie;Professionnelle;Non concerné
23;23;Lycée professionnel Erik Satie;Professionnelle;Oui
9;9;Lycée professionnel Etienne Dolet;Professionnelle;Non
22;31;Lycée professionnel Etienne Dolet;Professionnelle;Non concerné
18;21;Lycée professionnel Etienne Dolet;Professionnelle;Oui
37;42;Lycée professionnel Galilee;Professionnelle;Non
2;18;Lycée professionnel Galilee;Professionnelle;Non concerné
27;29;Lycée professionnel Galilee;Professionnelle;Oui
13;14;Lycée professionnel Gaston Bachelard;Professionnelle;Non
1;12;Lycée professionnel Gaston Bachelard;Professionnelle;Non concerné
10;10;Lycée professionnel Gaston Bachelard;Professionnelle;Oui
45;49;Lycée professionnel Gustave Eiffel;Professionnelle;Non
4;29;Lycée professionnel Gustave Eiffel;Professionnelle;Non concerné
9;9;Lycée professionnel Gustave Eiffel;Professionnelle;Oui
55;56;Lycée professionnel Gustave Ferrie;Professionnelle;Non
2;17;Lycée professionnel Gustave Ferrie;Professionnelle;Non concerné
43;43;Lycée professionnel Gustave Ferrie;Professionnelle;Oui
33;37;Lycée professionnel Hector Guimard;Professionnelle;Non
1;17;Lycée professionnel Hector Guimard;Professionnelle;Non concerné
5;6;Lycée professionnel Hector Guimard;Professionnelle;Oui
7;9;Lycée professionnel Hôtelier Belliard;Professionnelle;Non
