Nb de candidats ayant fait au moins un vœu confirmé PP;Nb de cddt ayant au moins une proposition Parcoursup;Etablissement;Type de formation de la scolarité;Niveau d'études;Type de la classe;Au moins 1 avis favorable en STS (Oui/Non);Cordées de la réussite
1;3;CFA Bélliard ALIMENTATION-HOTELLERIE;Terminale;Terminale;Professionnelle;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
6;2;EREA CROCE SPINELLI;Terminale;Terminale;Professionnelle;Non;Le candidat ne s'est pas engagé dans une cordée de la réussite
7;7;EREA CROCE SPINELLI;Terminale;Terminale;Professionnelle;Oui;Le candidat ne s'est pas engagé dans une cordée de la réussite
33;31;ESAA Boulle;Terminale;Terminale;Brevet;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
28;27;ESAA Boulle;Terminale;Terminale;Technologique;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
18;13;HOPITAL DE JOUR CLINIQUE UNIV GEORGES HEUYER;Terminale;Terminale;Générale;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
1;1;HOPITAL DE JOUR CLINIQUE UNIV GEORGES HEUYER;Terminale;Terminale;Technologique;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
1;1;IFSI Campus Picpus (AP-HP);Terminale;Terminale;Brevet;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
0;;IFSI Lycée Rabelais;Terminale;Terminale;Brevet;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
0;;IFSI Pitié Salpetrière (AP-HP);Terminale;Terminale;Brevet;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
1;1;IFSI Tenon (AP-HP);Terminale;Terminale;Brevet;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
7;5;Institut National des Jeunes Aveugles;Terminale;Terminale;Générale;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
212;212;Lycée Arago;Terminale;Terminale;Générale;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
30;23;Lycée Arago;Terminale;Terminale;Technologique;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
58;48;Lycée Auguste Renoir;Terminale;Terminale;Technologique;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
0;;Lycée autogéré;Terminale;Terminale;Générale;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
29;29;Lycée autogéré;Terminale;Terminale;Générale;Non concerné;Le candidat s'est engagé dans une cordée de la réussite et souhaite transmettre cette information aux formations d'accueil
12;12;Lycée autogéré;Terminale;Terminale;Générale;Non concerné;Le candidat s'est engagé dans une cordée de la réussite mais il ne souhaite pas transmettre cette information aux formations d'accueil
305;294;Lycée Buffon;Terminale;Terminale;Générale;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
151;135;Lycée Camille See;Terminale;Terminale;Générale;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
1;1;Lycée Camille See;Terminale;Terminale;Générale;Non concerné;Le candidat s'est engagé dans une cordée de la réussite mais il ne souhaite pas transmettre cette information aux formations d'accueil
269;264;Lycée Carnot;Terminale;Terminale;Générale;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
173;167;Lycée Chaptal;Terminale;Terminale;Générale;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
1;1;Lycée Chaptal;Terminale;Terminale;Générale;Non concerné;Le candidat s'est engagé dans une cordée de la réussite mais il ne souhaite pas transmettre cette information aux formations d'accueil
24;22;Lycée Chaptal;Terminale;Terminale;Technologique;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
246;246;Lycée Charlemagne;Terminale;Terminale;Générale;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
154;133;Lycée Claude Bernard;Terminale;Terminale;Générale;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
47;33;Lycée Claude Bernard;Terminale;Terminale;Technologique;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
334;329;Lycée Claude Monet;Terminale;Terminale;Générale;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
191;172;Lycée Colbert;Terminale;Terminale;Générale;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
14;14;Lycée Colbert;Terminale;Terminale;Générale;Non concerné;Le candidat s'est engagé dans une cordée de la réussite et souhaite transmettre cette information aux formations d'accueil
1;1;Lycée Colbert;Terminale;Terminale;Générale;Non concerné;Le candidat s'est engagé dans une cordée de la réussite mais il ne souhaite pas transmettre cette information aux formations d'accueil
169;167;Lycée Condorcet;Terminale;Terminale;Générale;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
31;15;Lycée D'Alembert-Cuir;Terminale;Terminale;Professionnelle;Non;Le candidat ne s'est pas engagé dans une cordée de la réussite
22;11;Lycée D'Alembert-Cuir;Terminale;Terminale;Professionnelle;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
20;20;Lycée D'Alembert-Cuir;Terminale;Terminale;Professionnelle;Oui;Le candidat ne s'est pas engagé dans une cordée de la réussite
5;4;Lycée D'Alembert-Cuir;Terminale;Terminale;Professionnelle;Oui;Le candidat s'est engagé dans une cordée de la réussite et souhaite transmettre cette information aux formations d'accueil
1;1;Lycée D'Alembert-Cuir;Terminale;Terminale;Professionnelle;Oui;Le candidat s'est engagé dans une cordée de la réussite mais il ne souhaite pas transmettre cette information aux formations d'accueil
39;30;Lycée D'Alembert-Cuir;Terminale;Terminale;Technologique;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
2;2;Lycée D'Alembert-Cuir;Terminale;Terminale;Technologique;Non concerné;Le candidat s'est engagé dans une cordée de la réussite et souhaite transmettre cette information aux formations d'accueil
15;11;Lycée des Métiers de l'Hôtellerie Guillaume TIREL;Terminale;Terminale;Professionnelle;Non;Le candidat ne s'est pas engagé dans une cordée de la réussite
2;3;Lycée des Métiers de l'Hôtellerie Guillaume TIREL;Terminale;Terminale;Professionnelle;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
15;15;Lycée des Métiers de l'Hôtellerie Guillaume TIREL;Terminale;Terminale;Professionnelle;Oui;Le candidat ne s'est pas engagé dans une cordée de la réussite
23;22;Lycée des Métiers de l'Hôtellerie Guillaume TIREL;Terminale;Terminale;Technologique;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
91;83;Lycée des Métiers Dorian;Terminale;Terminale;Générale;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
3;1;Lycée des Métiers Dorian;Terminale;Terminale;Professionnelle;Non;Le candidat ne s'est pas engagé dans une cordée de la réussite
3;6;Lycée des Métiers Dorian;Terminale;Terminale;Professionnelle;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
4;3;Lycée des Métiers Dorian;Terminale;Terminale;Professionnelle;Oui;Le candidat ne s'est pas engagé dans une cordée de la réussite
61;54;Lycée des Métiers Dorian;Terminale;Terminale;Technologique;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
2;2;Lycée Des métiers Jean DROUANT;Terminale;Terminale;Professionnelle;Non;Le candidat ne s'est pas engagé dans une cordée de la réussite
2;2;Lycée Des métiers Jean DROUANT;Terminale;Terminale;Professionnelle;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
19;18;Lycée Des métiers Jean DROUANT;Terminale;Terminale;Professionnelle;Oui;Le candidat ne s'est pas engagé dans une cordée de la réussite
33;33;Lycée Des métiers Jean DROUANT;Terminale;Terminale;Technologique;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
5;4;Lycée Diderot;Terminale;Terminale;Brevet;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
137;124;Lycée Diderot;Terminale;Terminale;Générale;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
19;12;Lycée Diderot;Terminale;Terminale;Professionnelle;Non;Le candidat ne s'est pas engagé dans une cordée de la réussite
2;1;Lycée Diderot;Terminale;Terminale;Professionnelle;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
3;3;Lycée Diderot;Terminale;Terminale;Professionnelle;Oui;Le candidat ne s'est pas engagé dans une cordée de la réussite
70;59;Lycée Diderot;Terminale;Terminale;Technologique;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
53;46;Lycée Edgar Quinet;Terminale;Terminale;Générale;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
4;4;Lycée Edgar Quinet;Terminale;Terminale;Générale;Non concerné;Le candidat s'est engagé dans une cordée de la réussite et souhaite transmettre cette information aux formations d'accueil
5;2;Lycée Edgar Quinet;Terminale;Terminale;Professionnelle;Non;Le candidat ne s'est pas engagé dans une cordée de la réussite
2;1;Lycée Edgar Quinet;Terminale;Terminale;Professionnelle;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
1;;Lycée Edgar Quinet;Terminale;Terminale;Professionnelle;Non concerné;Le candidat s'est engagé dans une cordée de la réussite et souhaite transmettre cette information aux formations d'accueil
20;16;Lycée Edgar Quinet;Terminale;Terminale;Professionnelle;Oui;Le candidat ne s'est pas engagé dans une cordée de la réussite
18;17;Lycée Edgar Quinet;Terminale;Terminale;Professionnelle;Oui;Le candidat s'est engagé dans une cordée de la réussite et souhaite transmettre cette information aux formations d'accueil
7;7;Lycée Edgar Quinet;Terminale;Terminale;Professionnelle;Oui;Le candidat s'est engagé dans une cordée de la réussite mais il ne souhaite pas transmettre cette information aux formations d'accueil
62;38;Lycée Edgar Quinet;Terminale;Terminale;Technologique;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
