Nb de candidats ayant fait au moins un vœu confirmé PP;Nb de cddt ayant au moins une proposition Parcoursup;Etablissement;Type de formation de la scolarité;Niveau d'études;Type de la classe;Au moins 1 avis favorable en STS (Oui/Non);Cordées de la réussite
1;1;CFA Bélliard ALIMENTATION-HOTELLERIE;Terminale;Terminale;Professionnelle;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
1;1;CREPS D'ILE DE FRANCE	- Antenne de Paris;Terminale;Terminale;Brevet;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
5;4;EREA CROCE SPINELLI;Terminale;Terminale;Professionnelle;Non;Le candidat ne s'est pas engagé dans une cordée de la réussite
2;1;EREA CROCE SPINELLI;Terminale;Terminale;Professionnelle;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
7;6;EREA CROCE SPINELLI;Terminale;Terminale;Professionnelle;Oui;Le candidat ne s'est pas engagé dans une cordée de la réussite
1;1;EREA CROCE SPINELLI;Terminale;Terminale;Professionnelle;Oui;Le candidat s'est engagé dans une cordée de la réussite et souhaite transmettre cette information aux formations d'accueil
36;35;ESAA Boulle;Terminale;Terminale;Brevet;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
28;26;ESAA Boulle;Terminale;Terminale;Technologique;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
1;;GRETA INDUSTRIEL TECHOLOGIES AVANCEES;Terminale;Terminale;Professionnelle;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
16;11;HOPITAL DE JOUR CLINIQUE UNIV GEORGES HEUYER;Terminale;Terminale;Générale;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
8;7;Institut National des Jeunes Aveugles;Terminale;Terminale;Générale;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
165;151;Lycée Arago;Terminale;Terminale;Générale;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
56;44;Lycée Arago;Terminale;Terminale;Technologique;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
53;48;Lycée Auguste Renoir;Terminale;Terminale;Technologique;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
20;20;Lycée autogéré;Terminale;Terminale;Générale;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
8;7;Lycée autogéré;Terminale;Terminale;Générale;Non concerné;Le candidat s'est engagé dans une cordée de la réussite et souhaite transmettre cette information aux formations d'accueil
1;1;Lycée autogéré;Terminale;Terminale;Générale;Non concerné;Le candidat s'est engagé dans une cordée de la réussite mais il ne souhaite pas transmettre cette information aux formations d'accueil
19;17;Lycée Batiment-Saint-Lambert;Terminale;Terminale;Technologique;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
300;292;Lycée Buffon;Terminale;Terminale;Générale;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
123;111;Lycée Camille See;Terminale;Terminale;Générale;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
283;271;Lycée Carnot;Terminale;Terminale;Générale;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
159;157;Lycée Chaptal;Terminale;Terminale;Générale;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
24;22;Lycée Chaptal;Terminale;Terminale;Technologique;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
247;242;Lycée Charlemagne;Terminale;Terminale;Générale;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
92;81;Lycée Claude Bernard;Terminale;Terminale;Générale;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
54;41;Lycée Claude Bernard;Terminale;Terminale;Générale;Non concerné;Le candidat s'est engagé dans une cordée de la réussite et souhaite transmettre cette information aux formations d'accueil
4;4;Lycée Claude Bernard;Terminale;Terminale;Générale;Non concerné;Le candidat s'est engagé dans une cordée de la réussite mais il ne souhaite pas transmettre cette information aux formations d'accueil
39;32;Lycée Claude Bernard;Terminale;Terminale;Technologique;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
332;327;Lycée Claude Monet;Terminale;Terminale;Générale;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
179;154;Lycée Colbert;Terminale;Terminale;Générale;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
170;169;Lycée Condorcet;Terminale;Terminale;Générale;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
32;22;Lycée D'Alembert-Cuir;Terminale;Terminale;Professionnelle;Non;Le candidat ne s'est pas engagé dans une cordée de la réussite
12;5;Lycée D'Alembert-Cuir;Terminale;Terminale;Professionnelle;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
33;33;Lycée D'Alembert-Cuir;Terminale;Terminale;Professionnelle;Oui;Le candidat ne s'est pas engagé dans une cordée de la réussite
43;37;Lycée D'Alembert-Cuir;Terminale;Terminale;Technologique;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
4;4;Lycée des Métiers de l'Hôtellerie Guillaume TIREL;Terminale;Terminale;Professionnelle;Non;Le candidat ne s'est pas engagé dans une cordée de la réussite
1;1;Lycée des Métiers de l'Hôtellerie Guillaume TIREL;Terminale;Terminale;Professionnelle;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
14;14;Lycée des Métiers de l'Hôtellerie Guillaume TIREL;Terminale;Terminale;Professionnelle;Oui;Le candidat ne s'est pas engagé dans une cordée de la réussite
23;22;Lycée des Métiers de l'Hôtellerie Guillaume TIREL;Terminale;Terminale;Technologique;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
92;82;Lycée des Métiers Dorian;Terminale;Terminale;Générale;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
2;1;Lycée des Métiers Dorian;Terminale;Terminale;Professionnelle;Non;Le candidat ne s'est pas engagé dans une cordée de la réussite
