Nb de candidats ayant fait au moins un vœu confirmé PP;Nb de cddt ayant au moins une proposition Parcoursup;Etablissement;Type de formation de la scolarité;Niveau d'études;Type de la classe;Au moins 1 avis favorable en STS (Oui/Non);Cordées de la réussite
1;1;CREPS D'ILE DE FRANCE	- Antenne de Paris;Terminale;Terminale;Brevet;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
3;;EREA CROCE SPINELLI;Terminale;Terminale;Professionnelle;Non;Le candidat ne s'est pas engagé dans une cordée de la réussite
1;2;EREA CROCE SPINELLI;Terminale;Terminale;Professionnelle;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
7;7;EREA CROCE SPINELLI;Terminale;Terminale;Professionnelle;Oui;Le candidat ne s'est pas engagé dans une cordée de la réussite
34;29;ESAA Boulle;Terminale;Terminale;Brevet;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
28;25;ESAA Boulle;Terminale;Terminale;Technologique;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
0;;GRETA INDUSTRIEL TECHOLOGIES AVANCEES;Terminale;Terminale;Professionnelle;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
26;22;HOPITAL DE JOUR CLINIQUE UNIV GEORGES HEUYER;Terminale;Terminale;Générale;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
3;2;HOPITAL DE JOUR CLINIQUE UNIV GEORGES HEUYER;Terminale;Terminale;Technologique;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
2;2;IFSI Campus Picpus (AP-HP);Terminale;Terminale;Brevet;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
1;;IFSI Saint Louis (AP-HP);Terminale;Terminale;Brevet;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
1;;IFSI Tenon (AP-HP);Terminale;Terminale;Brevet;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
10;8;Institut National des Jeunes Aveugles;Terminale;Terminale;Générale;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
0;;Institut National du Sport, de l'Expertise et de la Performance (INSEP);Terminale;Terminale;Brevet;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
197;183;Lycée Arago;Terminale;Terminale;Générale;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
59;48;Lycée Arago;Terminale;Terminale;Technologique;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
49;45;Lycée Auguste Renoir;Terminale;Terminale;Technologique;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
56;48;Lycée autogéré;Terminale;Terminale;Générale;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
5;3;Lycée Batiment-Saint-Lambert;Terminale;Terminale;Professionnelle;Non;Le candidat ne s'est pas engagé dans une cordée de la réussite
1;1;Lycée Batiment-Saint-Lambert;Terminale;Terminale;Professionnelle;Oui;Le candidat ne s'est pas engagé dans une cordée de la réussite
290;279;Lycée Buffon;Terminale;Terminale;Générale;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
125;112;Lycée Camille See;Terminale;Terminale;Générale;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
294;288;Lycée Carnot;Terminale;Terminale;Générale;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
162;155;Lycée Chaptal;Terminale;Terminale;Générale;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
23;22;Lycée Chaptal;Terminale;Terminale;Technologique;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
242;236;Lycée Charlemagne;Terminale;Terminale;Générale;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
153;136;Lycée Claude Bernard;Terminale;Terminale;Générale;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
1;1;Lycée Claude Bernard;Terminale;Terminale;Générale;Non concerné;Le candidat s'est engagé dans une cordée de la réussite et souhaite transmettre cette information aux formations d'accueil
45;38;Lycée Claude Bernard;Terminale;Terminale;Technologique;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
323;313;Lycée Claude Monet;Terminale;Terminale;Générale;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
158;141;Lycée Colbert;Terminale;Terminale;Générale;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
24;22;Lycée Colbert;Terminale;Terminale;Générale;Non concerné;Le candidat s'est engagé dans une cordée de la réussite et souhaite transmettre cette information aux formations d'accueil
2;1;Lycée Colbert;Terminale;Terminale;Générale;Non concerné;Le candidat s'est engagé dans une cordée de la réussite mais il ne souhaite pas transmettre cette information aux formations d'accueil
175;172;Lycée Condorcet;Terminale;Terminale;Générale;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
1;1;Lycée Condorcet;Terminale;Terminale;Générale;Non concerné;Le candidat s'est engagé dans une cordée de la réussite et souhaite transmettre cette information aux formations d'accueil
30;19;Lycée D'Alembert-Cuir;Terminale;Terminale;Professionnelle;Non;Le candidat ne s'est pas engagé dans une cordée de la réussite
27;19;Lycée D'Alembert-Cuir;Terminale;Terminale;Professionnelle;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
27;26;Lycée D'Alembert-Cuir;Terminale;Terminale;Professionnelle;Oui;Le candidat ne s'est pas engagé dans une cordée de la réussite
37;33;Lycée D'Alembert-Cuir;Terminale;Terminale;Technologique;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
4;3;Lycée D'Alembert-Cuir;Terminale;Terminale;Technologique;Non concerné;Le candidat s'est engagé dans une cordée de la réussite et souhaite transmettre cette information aux formations d'accueil
2;1;Lycée D'Alembert-Cuir;Terminale;Terminale;Technologique;Non concerné;Le candidat s'est engagé dans une cordée de la réussite mais il ne souhaite pas transmettre cette information aux formations d'accueil
13;9;Lycée des Métiers de l'Hôtellerie Guillaume TIREL;Terminale;Terminale;Professionnelle;Non;Le candidat ne s'est pas engagé dans une cordée de la réussite
18;18;Lycée des Métiers de l'Hôtellerie Guillaume TIREL;Terminale;Terminale;Professionnelle;Oui;Le candidat ne s'est pas engagé dans une cordée de la réussite
23;21;Lycée des Métiers de l'Hôtellerie Guillaume TIREL;Terminale;Terminale;Technologique;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
92;80;Lycée des Métiers Dorian;Terminale;Terminale;Générale;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
1;1;Lycée des Métiers Dorian;Terminale;Terminale;Générale;Non concerné;Le candidat s'est engagé dans une cordée de la réussite et souhaite transmettre cette information aux formations d'accueil
35;21;Lycée des Métiers Dorian;Terminale;Terminale;Professionnelle;Non;Le candidat ne s'est pas engagé dans une cordée de la réussite
5;5;Lycée des Métiers Dorian;Terminale;Terminale;Professionnelle;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
28;27;Lycée des Métiers Dorian;Terminale;Terminale;Professionnelle;Oui;Le candidat ne s'est pas engagé dans une cordée de la réussite
58;45;Lycée des Métiers Dorian;Terminale;Terminale;Technologique;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
11;11;Lycée des Métiers Dorian;Terminale;Terminale;Technologique;Non concerné;Le candidat s'est engagé dans une cordée de la réussite et souhaite transmettre cette information aux formations d'accueil
6;5;Lycée Des métiers Jean DROUANT;Terminale;Terminale;Professionnelle;Non;Le candidat ne s'est pas engagé dans une cordée de la réussite
0;;Lycée Des métiers Jean DROUANT;Terminale;Terminale;Professionnelle;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
13;13;Lycée Des métiers Jean DROUANT;Terminale;Terminale;Professionnelle;Oui;Le candidat ne s'est pas engagé dans une cordée de la réussite
17;20;Lycée Des métiers Jean DROUANT;Terminale;Terminale;Technologique;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
2;2;Lycée Diderot;Terminale;Terminale;Brevet;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
123;117;Lycée Diderot;Terminale;Terminale;Générale;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
18;14;Lycée Diderot;Terminale;Terminale;Professionnelle;Non;Le candidat ne s'est pas engagé dans une cordée de la réussite
1;1;Lycée Diderot;Terminale;Terminale;Professionnelle;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
6;6;Lycée Diderot;Terminale;Terminale;Professionnelle;Oui;Le candidat ne s'est pas engagé dans une cordée de la réussite
63;56;Lycée Diderot;Terminale;Terminale;Technologique;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
86;79;Lycée Edgar Quinet;Terminale;Terminale;Générale;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
18;2;Lycée Edgar Quinet;Terminale;Terminale;Professionnelle;Non;Le candidat ne s'est pas engagé dans une cordée de la réussite
2;1;Lycée Edgar Quinet;Terminale;Terminale;Professionnelle;Non;Le candidat s'est engagé dans une cordée de la réussite et souhaite transmettre cette information aux formations d'accueil
0;;Lycée Edgar Quinet;Terminale;Terminale;Professionnelle;Non;Le candidat s'est engagé dans une cordée de la réussite mais il ne souhaite pas transmettre cette information aux formations d'accueil
2;1;Lycée Edgar Quinet;Terminale;Terminale;Professionnelle;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
18;15;Lycée Edgar Quinet;Terminale;Terminale;Professionnelle;Oui;Le candidat ne s'est pas engagé dans une cordée de la réussite
4;3;Lycée Edgar Quinet;Terminale;Terminale;Professionnelle;Oui;Le candidat s'est engagé dans une cordée de la réussite et souhaite transmettre cette information aux formations d'accueil
50;35;Lycée Edgar Quinet;Terminale;Terminale;Technologique;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
50;49;Lycée Elisa Lemonnier;Terminale;Terminale;Générale;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
35;7;Lycée Elisa Lemonnier;Terminale;Terminale;Professionnelle;Non;Le candidat ne s'est pas engagé dans une cordée de la réussite
4;3;Lycée Elisa Lemonnier;Terminale;Terminale;Professionnelle;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
35;32;Lycée Elisa Lemonnier;Terminale;Terminale;Professionnelle;Oui;Le candidat ne s'est pas engagé dans une cordée de la réussite
89;72;Lycée Elisa Lemonnier;Terminale;Terminale;Technologique;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
150;118;Lycée Emile Dubois;Terminale;Terminale;Technologique;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
8;7;Lycée Emile Dubois;Terminale;Terminale;Technologique;Non concerné;Le candidat s'est engagé dans une cordée de la réussite et souhaite transmettre cette information aux formations d'accueil
2;2;Lycée Emile Dubois;Terminale;Terminale;Technologique;Non concerné;Le candidat s'est engagé dans une cordée de la réussite mais il ne souhaite pas transmettre cette information aux formations d'accueil
159;156;Lycée Fénelon;Terminale;Terminale;Générale;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
1;1;Lycée François Rabelais;Terminale;Terminale;Générale;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
53;49;Lycée François Rabelais;Terminale;Terminale;Générale;Non concerné;Le candidat s'est engagé dans une cordée de la réussite et souhaite transmettre cette information aux formations d'accueil
10;9;Lycée François Rabelais;Terminale;Terminale;Générale;Non concerné;Le candidat s'est engagé dans une cordée de la réussite mais il ne souhaite pas transmettre cette information aux formations d'accueil
42;36;Lycée François Rabelais;Terminale;Terminale;Technologique;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
