Nb de candidats ayant fait au moins un vœu confirmé PP;Nb de cddt ayant au moins une proposition Parcoursup;Etablissement;Type de formation de la scolarité;Profil synthétique candidat;Sexe;Académie de rattachement
1;;Cours Privé Autograf Formations;Formations professionnelles;Etudiants (réorientation, mise à niveau);M;Paris
1;;Cours Privé Autograf Formations;Master;Etudiants (réorientation, mise à niveau);M;Paris
0;;Cours Progress;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);F;Paris
1;;Cours Progress;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);M;Paris
17;12;Cours Progress;Terminale;Lycéens de Terminale;F;Paris
17;8;Cours Progress;Terminale;Lycéens de Terminale;M;Paris
0;;COURS VALIN ;Master;Etudiants (réorientation, mise à niveau);M;Créteil
1;1;Creps d'ile de france	- antenne de montigny-le-bretonneux;Terminale;Etudiants (réorientation, mise à niveau);M;Versailles
1;1;CREPS D'ILE DE FRANCE	- Antenne de Paris;Certificats de spécialisation et FCIL;Etudiants (réorientation, mise à niveau);F;Paris
0;;CREPS D'ILE DE FRANCE	- Antenne de Pontault-Combault;Formations professionnelles;Etudiants (réorientation, mise à niveau);F;Créteil
0;;CREPS d'Ile de France - Antenne de Vaires-sur-Marne;BTS - BTSA - BTSM;Non scolarisés;M;Créteil
1;1;CREPS d'Ile de France - Antenne de Vaires-sur-Marne;Terminale;Etudiants (réorientation, mise à niveau);M;Créteil
0;;CTR DE FORMATION D APPRENTIS CFA DE L'ASSURANCE;Autre formation du supérieur;Etudiants (réorientation, mise à niveau);F;Versailles
0;;CTR DE FORMATION D APPRENTIS CFA DE L'ASSURANCE;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);F;Versailles
0;;CTR DE FORMATION D APPRENTIS CFA DE L'ASSURANCE;Licence professionnelle;Etudiants (réorientation, mise à niveau);M;Versailles
2;;CTR DE FORMATION D APPRENTIS - Le studio;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);F;Versailles
1;1;CTR DE FORMATION D APPRENTIS - Le studio;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);M;Versailles
0;;CTRE DE FORMATION D'APPRENTIS EMC;Autre formation du supérieur;Etudiants (réorientation, mise à niveau);M;Créteil
2;2;CTRE DE FORMATION D'APPRENTIS EMC;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);F;Créteil
1;1;CTRE DE FORMATION D'APPRENTIS EMC;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);M;Créteil
0;;CTRE DE FORMATION D'APPRENTIS EMC;BTS - BTSA - BTSM;Non scolarisés;M;Créteil
1;1;CY Cergy Paris Université;Année préparatoire à la capacité en droit;Autres;M;Versailles
9;4;CY Cergy Paris Université;Année préparatoire au DAEU;Autres;F;Versailles
10;4;CY Cergy Paris Université;Année préparatoire au DAEU;Autres;M;Versailles
7;4;CY Cergy Paris Université;Autre formation du supérieur;Etudiants (réorientation, mise à niveau);F;Versailles
2;3;CY Cergy Paris Université;Autre formation du supérieur;Etudiants (réorientation, mise à niveau);M;Versailles
0;;CY Cergy Paris Université;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);F;Versailles
0;;CY Cergy Paris Université;Classe de remise à niveau (Scientifique, pour entrer en BTS, ...);Etudiants (réorientation, mise à niveau);F;Versailles
0;;CY Cergy Paris Université;Classe de remise à niveau (Scientifique, pour entrer en BTS, ...);Etudiants (réorientation, mise à niveau);M;Versailles
3;2;CY Cergy Paris Université;C.M.I - Cursus Master en Ingénierie;Etudiants (réorientation, mise à niveau);M;Versailles
0;;CY Cergy Paris Université;C.M.I - Cursus Master en Ingénierie;Non scolarisés;M;Versailles
0;;CY Cergy Paris Université;CPGE;Etudiants (réorientation, mise à niveau);M;Versailles
43;39;CY Cergy Paris Université;Diplômes d'université ou d'établissement;Etudiants (réorientation, mise à niveau);F;Versailles
35;25;CY Cergy Paris Université;Diplômes d'université ou d'établissement;Etudiants (réorientation, mise à niveau);M;Versailles
3;2;CY Cergy Paris Université;Diplômes d'université ou d'établissement;Non scolarisés;F;Versailles
1;1;CY Cergy Paris Université;Diplômes d'université ou d'établissement;Non scolarisés;M;Versailles
1;3;CY Cergy Paris Université;Formations des écoles d'ingénieurs;Etudiants (réorientation, mise à niveau);F;Versailles
1;1;CY Cergy Paris Université;Formations des écoles d'ingénieurs;Etudiants (réorientation, mise à niveau);M;Versailles
1;;CY Cergy Paris Université;Formations préparatoires à l'enseignement supérieur;Etudiants (réorientation, mise à niveau);F;Versailles
500;415;CY Cergy Paris Université;Licence;Etudiants (réorientation, mise à niveau);F;Versailles
320;243;CY Cergy Paris Université;Licence;Etudiants (réorientation, mise à niveau);M;Versailles
20;16;CY Cergy Paris Université;Licence;Non scolarisés;F;Versailles
15;15;CY Cergy Paris Université;Licence;Non scolarisés;M;Versailles
5;7;CY Cergy Paris Université;Licence professionnelle;Etudiants (réorientation, mise à niveau);F;Versailles
8;7;CY Cergy Paris Université;Licence professionnelle;Etudiants (réorientation, mise à niveau);M;Versailles
0;;CY Cergy Paris Université;Licence professionnelle;Non scolarisés;M;Versailles
9;9;CY Cergy Paris Université;Licence sélective;Etudiants (réorientation, mise à niveau);F;Versailles
2;2;CY Cergy Paris Université;Licence sélective;Etudiants (réorientation, mise à niveau);M;Versailles
8;5;CY Cergy Paris Université;Master;Etudiants (réorientation, mise à niveau);F;Versailles
4;2;CY Cergy Paris Université;Master;Etudiants (réorientation, mise à niveau);M;Versailles
0;;CY Cergy Paris Université;Master;Non scolarisés;F;Versailles
1;;CY Cergy Paris Université;Prépa autres écoles (Arts, Audiovisuel, Hôtellerie, ...);Etudiants (réorientation, mise à niveau);M;Versailles
19;16;CY Cergy Paris Université;Semestre passerelle/rebond;Etudiants (réorientation, mise à niveau);F;Versailles
22;18;CY Cergy Paris Université;Semestre passerelle/rebond;Etudiants (réorientation, mise à niveau);M;Versailles
0;1;CY Cergy Paris Université - Antenne de l'IEG de Gennevilliers;Diplômes d'université ou d'établissement;Etudiants (réorientation, mise à niveau);F;Versailles
6;5;CY Cergy Paris Université - Antenne de l'IEG de Gennevilliers;Licence;Etudiants (réorientation, mise à niveau);F;Versailles
2;1;CY Cergy Paris Université - Antenne de l'IEG de Gennevilliers;Licence professionnelle;Etudiants (réorientation, mise à niveau);F;Versailles
0;;CY Cergy Paris Université - Antenne de l'IEG de Gennevilliers;Licence professionnelle;Etudiants (réorientation, mise à niveau);M;Versailles
1;;CY Cergy Paris Université - Antenne de l'IEG de Gennevilliers;Master;Etudiants (réorientation, mise à niveau);F;Versailles
0;;CY Cergy Paris Université - Antenne de l'IEG de Gennevilliers;Master;Non scolarisés;F;Versailles
0;;CY Cergy Paris Université - Antenne de l'IEG de Gennevilliers;Prépa formation du secteur social (prépa Educ. spécialisé, ...);Non scolarisés;F;Versailles
0;1;CY Cergy Paris Université - INSPÉ de l’académie de Versailles;Autre formation du supérieur;Etudiants (réorientation, mise à niveau);F;Versailles
0;;CY Cergy Paris Université - INSPÉ de l’académie de Versailles;Autre formation du supérieur;Etudiants (réorientation, mise à niveau);M;Versailles
0;;CY Cergy Paris Université - INSPÉ de l’académie de Versailles;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);M;Versailles
0;;CY Cergy Paris Université - INSPÉ de l’académie de Versailles;BTS - BTSA - BTSM;Non scolarisés;M;Versailles
0;;CY Cergy Paris Université - INSPÉ de l’académie de Versailles;DEUST;Etudiants (réorientation, mise à niveau);F;Versailles
10;7;CY Cergy Paris Université - INSPÉ de l’académie de Versailles;Diplômes d'université ou d'établissement;Etudiants (réorientation, mise à niveau);F;Versailles
7;4;CY Cergy Paris Université - INSPÉ de l’académie de Versailles;Diplômes d'université ou d'établissement;Etudiants (réorientation, mise à niveau);M;Versailles
0;;CY Cergy Paris Université - INSPÉ de l’académie de Versailles;Diplômes d'université ou d'établissement;Non scolarisés;M;Versailles
1;;CY Cergy Paris Université - INSPÉ de l’académie de Versailles;Formations d'art, de design et du spectacle vivant;Etudiants (réorientation, mise à niveau);F;Versailles
0;;CY Cergy Paris Université - INSPÉ de l’académie de Versailles;Formations d'art, de design et du spectacle vivant;Etudiants (réorientation, mise à niveau);M;Versailles
2;1;CY Cergy Paris Université - INSPÉ de l’académie de Versailles;Formations des écoles d'ingénieurs;Etudiants (réorientation, mise à niveau);M;Versailles
10;6;CY Cergy Paris Université - INSPÉ de l’académie de Versailles;Licence;Etudiants (réorientation, mise à niveau);F;Versailles
6;4;CY Cergy Paris Université - INSPÉ de l’académie de Versailles;Licence;Etudiants (réorientation, mise à niveau);M;Versailles
2;2;CY Cergy Paris Université - INSPÉ de l’académie de Versailles;Licence;Non scolarisés;F;Versailles
2;2;CY Cergy Paris Université - INSPÉ de l’académie de Versailles;Licence professionnelle;Etudiants (réorientation, mise à niveau);F;Versailles
5;3;CY Cergy Paris Université - INSPÉ de l’académie de Versailles;Master;Etudiants (réorientation, mise à niveau);F;Versailles
1;;CY Cergy Paris Université - INSPÉ de l’académie de Versailles;Master;Etudiants (réorientation, mise à niveau);M;Versailles
0;;CY Cergy Paris Université - INSPÉ de l’académie de Versailles;Master;Non scolarisés;F;Versailles
1;1;CY Cergy Paris Université - INSPÉ de l’académie de Versailles;Prépa formation du secteur social (prépa Educ. spécialisé, ...);Non scolarisés;F;Versailles
6;4;CY Ecole de Design;Formations des écoles d'ingénieurs;Etudiants (réorientation, mise à niveau);F;Versailles
3;4;CY Ecole de Design;Formations des écoles d'ingénieurs;Etudiants (réorientation, mise à niveau);M;Versailles
1;;CY ILEPS;Diplômes d'université ou d'établissement;Etudiants (réorientation, mise à niveau);F;Versailles
6;3;CY ILEPS;Licence;Etudiants (réorientation, mise à niveau);F;Versailles
10;9;CY ILEPS;Licence;Etudiants (réorientation, mise à niveau);M;Versailles
0;;CY ILEPS;Licence professionnelle;Etudiants (réorientation, mise à niveau);F;Versailles
3;2;CY ILEPS;Licence professionnelle;Etudiants (réorientation, mise à niveau);M;Versailles
2;2;CY ILEPS;Licence professionnelle;Non scolarisés;F;Versailles
0;;CY ILEPS;Licence sélective;Etudiants (réorientation, mise à niveau);F;Versailles
1;1;CY TECH - Université de Cergy-Pontoise;Autre formation du supérieur;Etudiants (réorientation, mise à niveau);F;Versailles
1;1;CY TECH - Université de Cergy-Pontoise;C.M.I - Cursus Master en Ingénierie;Etudiants (réorientation, mise à niveau);M;Versailles
0;;CY TECH - Université de Cergy-Pontoise;CPGE;Etudiants (réorientation, mise à niveau);F;Versailles
1;;CY TECH - Université de Cergy-Pontoise;CPGE;Etudiants (réorientation, mise à niveau);M;Versailles
1;;CY TECH - Université de Cergy-Pontoise;Diplômes d'université ou d'établissement;Etudiants (réorientation, mise à niveau);M;Versailles
15;13;CY TECH - Université de Cergy-Pontoise;Formations des écoles d'ingénieurs;Etudiants (réorientation, mise à niveau);F;Versailles
17;15;CY TECH - Université de Cergy-Pontoise;Formations des écoles d'ingénieurs;Etudiants (réorientation, mise à niveau);M;Versailles
1;1;CY TECH - Université de Cergy-Pontoise;Formations des écoles d'ingénieurs;Non scolarisés;M;Versailles
1;1;CY TECH - Université de Cergy-Pontoise;Formations préparatoires à l'enseignement supérieur;Etudiants (réorientation, mise à niveau);F;Versailles
5;7;CY TECH - Université de Cergy-Pontoise;Formations préparatoires à l'enseignement supérieur;Etudiants (réorientation, mise à niveau);M;Versailles
25;17;CY TECH - Université de Cergy-Pontoise;Licence;Etudiants (réorientation, mise à niveau);F;Versailles
28;20;CY TECH - Université de Cergy-Pontoise;Licence;Etudiants (réorientation, mise à niveau);M;Versailles
1;;CY TECH - Université de Cergy-Pontoise;Licence;Non scolarisés;M;Versailles
1;1;CY TECH - Université de Cergy-Pontoise;Licence professionnelle;Non scolarisés;F;Versailles
0;;CY TECH - Université de Cergy-Pontoise;Licence professionnelle;Non scolarisés;M;Versailles
1;1;CY TECH - Université de Cergy-Pontoise;Licence sélective;Etudiants (réorientation, mise à niveau);F;Versailles
0;;CY TECH - Université de Cergy-Pontoise;Licence sélective;Etudiants (réorientation, mise à niveau);M;Versailles
0;;CY TECH - Université de Cergy-Pontoise;Master;Etudiants (réorientation, mise à niveau);M;Versailles
1;1;CY TECH - Université de Cergy-Pontoise;Prépa autres écoles (Arts, Audiovisuel, Hôtellerie, ...);Etudiants (réorientation, mise à niveau);F;Versailles
4;3;CY TECH - Université de Cergy-Pontoise;Prépa autres écoles (Arts, Audiovisuel, Hôtellerie, ...);Etudiants (réorientation, mise à niveau);M;Versailles
4;4;Département de formation de premier cycle de lettres et sciences humaines - Université Paris Diderot;Année préparatoire au DAEU;Autres;F;Paris
0;;Département de formation de premier cycle de lettres et sciences humaines - Université Paris Diderot;Année préparatoire au DAEU;Autres;M;Paris
0;1;Département de formation de premier cycle de lettres et sciences humaines - Université Paris Diderot;Autre formation du supérieur;Etudiants (réorientation, mise à niveau);F;Paris
3;;Département de formation de premier cycle de lettres et sciences humaines - Université Paris Diderot;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);F;Paris
1;1;Département de formation de premier cycle de lettres et sciences humaines - Université Paris Diderot;BTS - BTSA - BTSM;Non scolarisés;F;Paris
1;1;Département de formation de premier cycle de lettres et sciences humaines - Université Paris Diderot;Classe de remise à niveau (Scientifique, pour entrer en BTS, ...);Etudiants (réorientation, mise à niveau);M;Paris
2;2;Département de formation de premier cycle de lettres et sciences humaines - Université Paris Diderot;Diplômes d'université ou d'établissement;Etudiants (réorientation, mise à niveau);F;Paris
4;4;Département de formation de premier cycle de lettres et sciences humaines - Université Paris Diderot;Diplômes d'université ou d'établissement;Etudiants (réorientation, mise à niveau);M;Paris
0;;Département de formation de premier cycle de lettres et sciences humaines - Université Paris Diderot;Formations préparatoires à l'enseignement supérieur;Etudiants (réorientation, mise à niveau);M;Paris
60;42;Département de formation de premier cycle de lettres et sciences humaines - Université Paris Diderot;Licence;Etudiants (réorientation, mise à niveau);F;Paris
8;6;Département de formation de premier cycle de lettres et sciences humaines - Université Paris Diderot;Licence;Etudiants (réorientation, mise à niveau);M;Paris
5;3;Département de formation de premier cycle de lettres et sciences humaines - Université Paris Diderot;Licence;Non scolarisés;F;Paris
4;3;Département de formation de premier cycle de lettres et sciences humaines - Université Paris Diderot;Master;Etudiants (réorientation, mise à niveau);F;Paris
0;1;Département de formation de premier cycle de lettres et sciences humaines - Université Paris Diderot;Master;Etudiants (réorientation, mise à niveau);M;Paris
1;1;Département de formation de premier cycle de lettres et sciences humaines - Université Paris Diderot;Prépa PASS (Médecine, Pharmacie, Sage femme, Dentiste, Kiné);Etudiants (réorientation, mise à niveau);F;Paris
0;;Diderot Education Paris (Cours Diderot - EDNH - EGPN);Autre formation du supérieur;Etudiants (réorientation, mise à niveau);F;Paris
1;1;Diderot Education Paris (Cours Diderot - EDNH - EGPN);Autre formation du supérieur;Etudiants (réorientation, mise à niveau);M;Paris
5;2;Diderot Education Paris (Cours Diderot - EDNH - EGPN);BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);F;Paris
4;2;Diderot Education Paris (Cours Diderot - EDNH - EGPN);BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);M;Paris
1;1;Diderot Education Paris (Cours Diderot - EDNH - EGPN);DCG;Etudiants (réorientation, mise à niveau);F;Paris
1;1;Diderot Education Paris (Cours Diderot - EDNH - EGPN);DCG;Etudiants (réorientation, mise à niveau);M;Paris
0;;Diderot Education Paris (Cours Diderot - EDNH - EGPN);Etudes de santé;Etudiants (réorientation, mise à niveau);F;Paris
0;;Diderot Education Paris (Cours Diderot - EDNH - EGPN);Formations professionnelles;Etudiants (réorientation, mise à niveau);F;Paris
4;3;Diderot Education Paris (Cours Diderot - EDNH - EGPN);Prépa formation en soins infirmiers;Etudiants (réorientation, mise à niveau);F;Paris
1;1;Don bosco international média academy;Autre formation du supérieur;Etudiants (réorientation, mise à niveau);F;Paris
1;1;Don bosco international média academy;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);F;Paris
1;;Don bosco international média academy;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);M;Paris
1;1;Don bosco international média academy;BTS - BTSA - BTSM;Non scolarisés;M;Paris
0;;DORANCO ESPACE MULTIMEDIA;Formations professionnelles;Etudiants (réorientation, mise à niveau);F;Paris
0;;DORANCO ESPACE MULTIMEDIA;Formations professionnelles;Etudiants (réorientation, mise à niveau);M;Paris
66;65;EBI;Formations des écoles d'ingénieurs;Etudiants (réorientation, mise à niveau);F;Versailles
26;26;EBI;Formations des écoles d'ingénieurs;Etudiants (réorientation, mise à niveau);M;Versailles
0;;ECAM EPMI;Formations des écoles d'ingénieurs;Etudiants (réorientation, mise à niveau);F;Versailles
3;4;ECAM EPMI;Formations des écoles d'ingénieurs;Etudiants (réorientation, mise à niveau);M;Versailles
0;;ECAM-EPMI site de Cachan;Formations des écoles d'ingénieurs;Etudiants (réorientation, mise à niveau);F;Créteil
0;;ECAM-EPMI site de Cachan;Formations des écoles d'ingénieurs;Etudiants (réorientation, mise à niveau);M;Créteil
0;;ECAM-EPMI site de Cachan;Master;Etudiants (réorientation, mise à niveau);F;Créteil
27;20;ECE Paris;Formations des écoles d'ingénieurs;Etudiants (réorientation, mise à niveau);F;Paris
107;85;ECE Paris;Formations des écoles d'ingénieurs;Etudiants (réorientation, mise à niveau);M;Paris
1;1;ECE Paris;Formations des écoles d'ingénieurs;Non scolarisés;F;Paris
6;5;ECE Paris;Formations des écoles d'ingénieurs;Non scolarisés;M;Paris
0;;ECE Paris;Master;Etudiants (réorientation, mise à niveau);F;Paris
0;1;ECE Paris;Master;Etudiants (réorientation, mise à niveau);M;Paris
12;11;ECOLE 2D DEGRE GENERAL PRIVEE GEORGES GUSDORF;Terminale;Lycéens de Terminale;F;Paris
20;20;ECOLE 2D DEGRE GENERAL PRIVEE GEORGES GUSDORF;Terminale;Lycéens de Terminale;M;Paris
1;1;Ecole 2D degré général privé International Montessori Athéna;Terminale;Lycéens de Terminale;F;Versailles
2;2;Ecole 2D degré général privé International Montessori Athéna;Terminale;Lycéens de Terminale;M;Versailles
13;10;Ecole 2D degré polyvalent privée Sports Etudes Académy le Mesnil;Terminale;Lycéens de Terminale;M;Versailles
21;17;Ecole Akiba;Terminale;Lycéens de Terminale;F;Paris
12;10;Ecole Akiba;Terminale;Lycéens de Terminale;M;Paris
1;1;Ecole Allemande Internationale de Paris;Terminale;Scolarité étrangère;F;Versailles
2;2;Ecole Allemande Internationale de Paris;Terminale;Scolarité étrangère;M;Versailles
0;;Ecole Alsacienne;Première;Autres;M;Paris
104;103;Ecole Alsacienne;Terminale;Lycéens de Terminale;F;Paris
83;80;Ecole Alsacienne;Terminale;Lycéens de Terminale;M;Paris
3;3;Ecole Camondo;Formations d'art, de design et du spectacle vivant;Etudiants (réorientation, mise à niveau);F;Paris
1;1;Ecole Camondo;Formations d'art, de design et du spectacle vivant;Etudiants (réorientation, mise à niveau);M;Paris
4;1;Ecole d'AGUESSEAU;Terminale;Lycéens de Terminale;F;Versailles
10;5;Ecole d'AGUESSEAU;Terminale;Lycéens de Terminale;M;Versailles
0;;Ecole d'Ameublement de Paris;Autre formation du secondaire;Non scolarisés;F;Paris
1;1;Ecole d'Ameublement de Paris;Autre formation du supérieur;Etudiants (réorientation, mise à niveau);F;Paris
0;;Ecole d'Ameublement de Paris;Formations professionnelles;Etudiants (réorientation, mise à niveau);M;Paris
3;1;Ecole danhier de pédicurie-podologie;Etudes de santé;Etudiants (réorientation, mise à niveau);F;Créteil
0;;Ecole d'Assas;Autre formation du supérieur;Etudiants (réorientation, mise à niveau);F;Paris
2;2;Ecole d'Assas;Etudes de santé;Etudiants (réorientation, mise à niveau);F;Paris
1;1;Ecole d'Assas;Etudes de santé;Etudiants (réorientation, mise à niveau);M;Paris
1;1;Ecole de communication, Internet et télé - ECITV;Formations des écoles de commerce et de management;Etudiants (réorientation, mise à niveau);F;Paris
1;1;Ecole de communication, Internet et télé - ECITV;Formations des écoles de commerce et de management;Non scolarisés;F;Paris
15;16;Ecole de management de Normandie - Campus de Paris Clichy;Formations des écoles de commerce et de management;Etudiants (réorientation, mise à niveau);F;Versailles
32;25;Ecole de management de Normandie - Campus de Paris Clichy;Formations des écoles de commerce et de management;Etudiants (réorientation, mise à niveau);M;Versailles
1;1;Ecole de management de Normandie - Campus de Paris Clichy;Formations des écoles de commerce et de management;Non scolarisés;F;Versailles
2;3;Ecole de management de Normandie - Campus de Paris Clichy;Formations des écoles de commerce et de management;Non scolarisés;M;Versailles
0;;Ecole de Paris des Métiers de la Table - E.P.M.T;Autre formation du secondaire;Autres;M;Paris
1;1;Ecole de Paris des Métiers de la Table - E.P.M.T;Autre formation du secondaire;Non scolarisés;F;Paris
1;1;Ecole de Paris des Métiers de la Table - E.P.M.T;Autre formation du supérieur;Etudiants (réorientation, mise à niveau);F;Paris
1;1;Ecole de Paris des Métiers de la Table - E.P.M.T;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);F;Paris
1;1;Ecole de Paris des Métiers de la Table - E.P.M.T;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);M;Paris
1;1;Ecole de Paris des Métiers de la Table - E.P.M.T;Formations professionnelles;Etudiants (réorientation, mise à niveau);M;Paris
2;1;Ecole de Paris des Métiers de la Table - E.P.M.T;Mise à niveau (MANAA, MANH, ...);Etudiants (réorientation, mise à niveau);F;Paris
0;2;Ecole de Paris des Métiers de la Table - E.P.M.T;Mise à niveau (MANAA, MANH, ...);Etudiants (réorientation, mise à niveau);M;Paris
1;1;Ecole de Paris des Métiers de la Table - E.P.M.T;Mise à niveau (MANAA, MANH, ...);Non scolarisés;F;Paris
3;1;Ecole de Paris des Métiers de la Table - E.P.M.T;Terminale;Lycéens de Terminale;F;Paris
0;;Ecole de Paris des Métiers de la Table - E.P.M.T;Terminale;Lycéens de Terminale;M;Paris
0;;Ecole de service social de la CRAMIF;Formations diplômantes du travail social;Etudiants (réorientation, mise à niveau);F;Paris
4;4;Ecole des hautes études internationales et politiques;Autre formation du supérieur;Etudiants (réorientation, mise à niveau);F;Paris
3;2;Ecole des hautes études internationales et politiques;Autre formation du supérieur;Etudiants (réorientation, mise à niveau);M;Paris
1;1;Ecole des hautes études internationales et politiques;Formations professionnelles;Etudiants (réorientation, mise à niveau);F;Paris
0;1;Ecole des hautes études internationales et politiques;Formations professionnelles;Etudiants (réorientation, mise à niveau);M;Paris
1;;Ecole des hautes études internationales et politiques;Prépa autres écoles (Arts, Audiovisuel, Hôtellerie, ...);Etudiants (réorientation, mise à niveau);M;Paris
1;1;Ecole des hautes études internationales et politiques;Sciences Po - Instituts d'études politiques;Etudiants (réorientation, mise à niveau);M;Paris
0;;Ecole des Métiers du Service du Commerce et de l'Accueil;Autre formation du supérieur;Etudiants (réorientation, mise à niveau);F;Créteil
1;2;Ecole des Métiers du Service du Commerce et de l'Accueil;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);F;Créteil
0;;Ecole des Métiers du Service du Commerce et de l'Accueil;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);M;Créteil
1;1;Ecole des Métiers du Service du Commerce et de l'Accueil;BTS - BTSA - BTSM;Non scolarisés;M;Créteil
1;;Ecole des Métiers du Service du Commerce et de l'Accueil;Formations aux métiers du sport;Etudiants (réorientation, mise à niveau);M;Créteil
1;;Ecole des Techniciens Supérieurs (Ecole secondaire professionnelle privée);BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);F;Paris
1;1;Ecole d'Esthétique et de Parfurmerie Silvya Terrade;Autre formation du secondaire;Autres;F;Paris
0;;Ecole d'Esthétique et de Parfurmerie Silvya Terrade;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);F;Paris
2;;École de Travail ORT;Terminale;Lycéens de Terminale;M;Paris
2;2;Ecole Diagonale privé hors contrat;CPGE;Etudiants (réorientation, mise à niveau);F;Paris
2;2;Ecole Diagonale privé hors contrat;CPGE;Etudiants (réorientation, mise à niveau);M;Paris
0;;Ecole Diagonale privé hors contrat;Formations préparatoires à l'enseignement supérieur;Etudiants (réorientation, mise à niveau);M;Paris
0;;Ecole Diagonale privé hors contrat;Formations préparatoires à l'enseignement supérieur;Non scolarisés;M;Paris
100;84;Ecole Diagonale privé hors contrat;Terminale;Lycéens de Terminale;F;Paris
96;80;Ecole Diagonale privé hors contrat;Terminale;Lycéens de Terminale;M;Paris
4;4;Ecole du Ballet de l'Opéra;Terminale;Lycéens de Terminale;F;Versailles
4;4;Ecole du Ballet de l'Opéra;Terminale;Lycéens de Terminale;M;Versailles
0;;Ecole du Bâtiment et desTravaux Publics;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);F;Créteil
0;;Ecole du Bâtiment et desTravaux Publics;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);M;Créteil
30;23;Ecole du Bâtiment et desTravaux Publics;Terminale;Lycéens de Terminale;F;Créteil
31;18;Ecole du Bâtiment et desTravaux Publics;Terminale;Lycéens de Terminale;M;Créteil
35;31;ECOLE DU LOUVRE;Formations d'art, de design et du spectacle vivant;Etudiants (réorientation, mise à niveau);F;Paris
10;10;ECOLE DU LOUVRE;Formations d'art, de design et du spectacle vivant;Etudiants (réorientation, mise à niveau);M;Paris
1;1;ECOLE DU LOUVRE;Formations d'art, de design et du spectacle vivant;Non scolarisés;F;Paris
1;;Ecole du Travail Social Paris Croix Saint-Simon;Autre formation du supérieur;Etudiants (réorientation, mise à niveau);F;Paris
0;1;Ecole du Travail Social Paris Croix Saint-Simon;Etudes de santé;Etudiants (réorientation, mise à niveau);F;Paris
0;;Ecole du Travail Social Paris Croix Saint-Simon;Etudes de santé;Non scolarisés;F;Paris
3;3;Ecole du Travail Social Paris Croix Saint-Simon;Formations diplômantes du travail social;Etudiants (réorientation, mise à niveau);F;Paris
0;;Ecole du Travail Social Paris Croix Saint-Simon;Formations diplômantes du travail social;Etudiants (réorientation, mise à niveau);M;Paris
2;1;Ecole du Travail Social Paris Croix Saint-Simon;Formations professionnelles;Etudiants (réorientation, mise à niveau);F;Paris
1;1;Ecole du Travail Social Paris Croix Saint-Simon;Mise à niveau (MANAA, MANH, ...);Etudiants (réorientation, mise à niveau);F;Paris
1;1;Ecole du Travail Social Paris Croix Saint-Simon;Prépa formation en soins infirmiers;Etudiants (réorientation, mise à niveau);F;Paris
0;;ECOLE ENERGIE TECH;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);M;Créteil
0;;Ecole Européenne des Métiers de l'Internet;Formations professionnelles;Etudiants (réorientation, mise à niveau);M;Paris
0;;Ecole Européenne d'Intelligence Economique;Autre formation du supérieur;Non scolarisés;M;Versailles
8;6;ECOLE EUROPEENNE PARIS-LA DEFENSE;Terminale;Lycéens de Terminale;F;Versailles
3;3;ECOLE EUROPEENNE PARIS-LA DEFENSE;Terminale;Lycéens de Terminale;M;Versailles
2;3;Ecole Française Hôtesses Tourisme;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);F;Paris
0;;Ecole Française Hôtesses Tourisme;Formations professionnelles;Etudiants (réorientation, mise à niveau);F;Paris
7;7;Ecole générale et technologique privée Beth Sepher Yad Mordekai;Terminale;Lycéens de Terminale;F;Versailles
8;8;Ecole générale et technologique privée Groupe Scolaire Excellence;Terminale;Lycéens de Terminale;F;Versailles
2;2;Ecole générale et technologique privée Groupe Scolaire Excellence;Terminale;Lycéens de Terminale;M;Versailles
2;1;Ecole générale et technologique privée Institut FFGOLF Haut niveau;Terminale;Lycéens de Terminale;M;Versailles
7;7;ECOLE GEN.ET TECHNOL.PRIVEE DE L'INSTITUT;Terminale;Lycéens de Terminale;F;Versailles
