Nb de candidats ayant fait au moins un vœu confirmé PP;Nb d'individus;Etablissement;Type de la classe;Au moins 1 avis favorable en STS (Oui/Non)
36;36;Lycée professionnel Galilee;Professionnelle;Oui
12;14;Lycée professionnel Gaston Bachelard;Professionnelle;Non
1;8;Lycée professionnel Gaston Bachelard;Professionnelle;Non concerné
17;17;Lycée professionnel Gaston Bachelard;Professionnelle;Oui
22;23;Lycée professionnel Gustave Eiffel;Professionnelle;Non
2;9;Lycée professionnel Gustave Eiffel;Professionnelle;Non concerné
38;38;Lycée professionnel Gustave Eiffel;Professionnelle;Oui
51;59;Lycée professionnel Gustave Ferrie;Professionnelle;Non
1;11;Lycée professionnel Gustave Ferrie;Professionnelle;Non concerné
42;43;Lycée professionnel Gustave Ferrie;Professionnelle;Oui
7;10;Lycée professionnel Hector Guimard;Professionnelle;Non
0;24;Lycée professionnel Hector Guimard;Professionnelle;Non concerné
34;35;Lycée professionnel Hector Guimard;Professionnelle;Oui
4;4;Lycée professionnel Hôtelier Belliard;Professionnelle;Non
5;24;Lycée professionnel Hôtelier Belliard;Professionnelle;Non concerné
10;10;Lycée professionnel Hôtelier Belliard;Professionnelle;Oui
25;28;Lycée professionnel Marcel Deprez;Professionnelle;Non
4;20;Lycée professionnel Marcel Deprez;Professionnelle;Non concerné
39;39;Lycée professionnel Marcel Deprez;Professionnelle;Oui
28;33;Lycée professionnel Maria Deraismes;Professionnelle;Non
2;34;Lycée professionnel Maria Deraismes;Professionnelle;Non concerné
48;50;Lycée professionnel Maria Deraismes;Professionnelle;Oui
7;7;Lycée professionnel Marie Laurencin;Professionnelle;Non
5;12;Lycée professionnel Marie Laurencin;Professionnelle;Non concerné
17;17;Lycée professionnel Marie Laurencin;Professionnelle;Oui
1;1;Lycée professionnel Metiers De L'Ameublement;Professionnelle;Non
4;9;Lycée professionnel Metiers De L'Ameublement;Professionnelle;Non concerné
1;1;Lycée professionnel Metiers De L'Ameublement;Professionnelle;Oui
7;7;Lycée professionnel Nicolas Louis Vauquelin;Professionnelle;Non
10;26;Lycée professionnel Nicolas Louis Vauquelin;Professionnelle;Non concerné
29;29;Lycée professionnel Nicolas Louis Vauquelin;Professionnelle;Oui
3;4;Lycée professionnel Octave Feuillet;Professionnelle;Non
1;4;Lycée professionnel Octave Feuillet;Professionnelle;Non concerné
6;6;Lycée professionnel Octave Feuillet;Professionnelle;Oui
35;46;Lycée professionnel Pierre Lescot;Professionnelle;Non
3;35;Lycée professionnel Pierre Lescot;Professionnelle;Non concerné
35;36;Lycée professionnel Pierre Lescot;Professionnelle;Oui
21;26;Lycée professionnel Régional Abbe Gregoire;Professionnelle;Non
6;17;Lycée professionnel Régional Abbe Gregoire;Professionnelle;Non concerné
20;23;Lycée professionnel Régional Abbe Gregoire;Professionnelle;Oui
29;34;Lycée professionnel Rene Cassin;Professionnelle;Non
4;27;Lycée professionnel Rene Cassin;Professionnelle;Non concerné
27;29;Lycée professionnel Rene Cassin;Professionnelle;Oui
18;21;Lycée professionnel Suzanne Valadon;Professionnelle;Non
2;29;Lycée professionnel Suzanne Valadon;Professionnelle;Non concerné
23;24;Lycée professionnel Suzanne Valadon;Professionnelle;Oui
32;37;Lycée professionnel Theophile Gautier;Professionnelle;Non
7;59;Lycée professionnel Theophile Gautier;Professionnelle;Non concerné
50;52;Lycée professionnel Theophile Gautier;Professionnelle;Oui
14;20;Lycée professionnel Turquetil;Professionnelle;Non
4;31;Lycée professionnel Turquetil;Professionnelle;Non concerné
31;31;Lycée professionnel Turquetil;Professionnelle;Oui
14;14;Lycée Raspail;Professionnelle;Non
2;36;Lycée Raspail;Professionnelle;Non concerné
7;7;Lycée Raspail;Professionnelle;Oui
11;13;Lycée Simone Weil;Professionnelle;Non
4;29;Lycée Simone Weil;Professionnelle;Non concerné
25;25;Lycée Simone Weil;Professionnelle;Oui
